,3P,FT,AST,STL,BLK,PF,TRB,W,L,cnname
Brooklyn Nets,9,13.6,23.5,5.4,5.4,21.7,42.5,1,0,篮网
New Orleans Pelicans,13.2,8.5,24.5,9.4,4.7,20.7,33,1,0,鹈鹕
Utah Jazz,12.2,14.2,23.4,6.1,3.1,18.3,40.7,1,0,爵士
Minnesota Timberwolves,8,3,28.9,5,2,19.9,43.8,1,0,森林狼
Phoenix Suns,8.9,20.7,16.8,5.9,0,22.7,38.4,1,0,太阳
Atlanta Hawks,7.6,22.7,18.9,9.4,2.8,20.8,34.9,1,0,老鹰
Dallas Mavericks,10.8,18.7,20.7,6.9,6.9,25.6,47.3,0,1,独行侠
Philadelphia 76ers,12.1,14.9,26.1,6.5,3.7,24.3,37.3,1,0,76人
Orlando Magic,6.6,15.2,23.7,10.4,1.9,19.9,40.8,1,0,魔术
Indiana Pacers,11.3,16,23.6,7.6,7.6,25.5,37.8,1,0,步行者
Los Angeles Clippers,8.7,23.2,21.3,3.9,1.9,19.3,43.5,1,0,快船
Detroit Pistons,10.9,23.9,24.9,6,5,15.9,47.8,0,1,活塞
Miami Heat,9.5,18,21.8,14.2,2.8,18,38.9,0,1,热火
Washington Wizards,7.5,21.5,20.5,10.3,7.5,23.3,43.8,0,1,奇才
Toronto Raptors,17.9,9.4,28.3,12.3,6.6,16,42.4,0,1,猛龙
Cleveland Cavaliers,15.5,7.8,28.1,9.7,3.9,16.5,31.1,1,0,骑士
Los Angeles Lakers,13.5,13.5,21.3,9.7,2.9,28,38.6,0,1,湖人
San Antonio Spurs,9.2,10.2,25,5.5,7.4,18.5,38.8,1,0,马刺
Portland Trail Blazers,19.3,15.3,24.4,3.1,3.1,16.3,60.1,0,1,开拓者
New York Knicks,7.6,19.8,26.4,5.7,8.5,22.7,47.2,0,1,尼克斯
Charlotte Hornets,13.6,14.6,33,11.6,2.9,21.4,48.5,0,1,黄蜂
Boston Celtics,13.9,14.9,18.9,4,6,19.9,51.8,1,0,凯尔特人
Milwaukee Bucks,17.9,8,22.9,8,6,16.9,36.8,0,1,雄鹿
Sacramento Kings,7.3,18.2,25.5,5.5,10,22.7,41.9,1,0,国王
Denver Nuggets,9.1,21.8,24.6,4.5,6.4,26.4,49.1,0,1,掘金
Chicago Bulls,13.2,22.7,22.7,5.7,2.8,27.4,43.4,0,1,公牛
Golden State Warriors,13.6,23.5,21.7,10,6.3,19.9,51.6,0,1,勇士
Memphis Grizzlies,9.2,23.1,25.9,7.4,7.4,16.6,44.4,0,1,灰熊
Houston Rockets,,,,,,,,0,0,火箭
Oklahoma City Thunder,,,,,,,,0,0,雷霆
