,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location,Score,Rank
Brandon Clarke,1.4,0.8,4.4,8.259,0.6,1.7,1.931,0.397,0.759,58,4,1300,22.4,1.6,700,12.1,5.9,0.6,0.397,0.359,0.9,后卫,0.2690923746333692,43
狄龙布鲁克斯,2.1,0.4,2.4,14.63,0.4,3.8,2.781,2.0140000000000002,0.8079999999999999,73,73,2112,28.9,0.9,1181,16.2,3.3,0.9,2.0140000000000002,0.358,1.7,后卫,0.2632285850086815,44
马库斯-斯马特,4.9,0.5,3.1,11.367,0.4,2.7,2.533,2.283,0.836,60,40,1919,32.0,0.7,776,12.9,3.8,1.7,2.283,0.34700000000000003,1.7,后卫,0.20026277240529033,45
约什-哈特,1.7,0.4,5.6,8.185,0.4,2.5,1.7690000000000001,1.8619999999999999,0.7390000000000001,65,16,1755,27.0,0.9,656,10.1,6.5,1.0,1.8619999999999999,0.342,1.2,后卫,0.13437894838404715,46
乔-哈里斯,2.1,0.2,3.4,11.362,0.5,2.3,1.29,2.4930000000000003,0.7190000000000001,69,69,2123,30.8,0.9,998,14.5,4.3,0.6,2.4930000000000003,0.424,1.5,后卫,0.08984455307546779,47
丹尼斯-施罗德,4.0,0.2,3.3,14.845999999999998,0.5,2.2,3.6310000000000002,1.923,0.8390000000000001,65,2,1999,30.8,0.3,1229,18.9,3.6,0.7,1.923,0.385,2.6,后卫,0.035956616289722125,48
DeAndre Hunter,1.8,0.3,3.8,10.841,0.4,2.9,2.286,1.714,0.764,63,62,2018,32.0,0.7,778,12.3,4.5,0.7,1.714,0.355,1.6,后卫,0.008661000146602814,49
伊万-福尼耶,3.2,0.2,2.3,14.075999999999999,0.5,2.4,3.333,2.6210000000000004,0.818,66,66,2076,31.5,0.3,1221,18.5,2.6,1.1,2.6210000000000004,0.39899999999999997,1.9,后卫,0.00484727972040999,50
约什-理查德森,2.9,0.7,2.4,11.745,0.4,2.5,2.5639999999999996,1.545,0.809,55,53,1693,30.8,0.7,755,13.7,3.2,0.9,1.545,0.341,1.9,后卫,-0.0966069071453031,51
马克尔-富尔茨,5.1,0.2,2.7,10.722000000000001,0.5,2.0,2.208,0.5,0.73,72,60,1996,27.7,0.6,870,12.1,3.3,1.3,0.5,0.267,2.0,后卫,-0.12307559247501225,52
杰里米-兰姆,2.1,0.5,3.8,10.413,0.5,2.3,2.391,1.1520000000000001,0.836,46,42,1291,28.1,0.5,577,12.5,4.3,1.2,1.1520000000000001,0.335,1.1,后卫,-0.14499058725526356,53
凯文-赫尔特,3.8,0.5,3.4,10.892999999999999,0.4,2.5,1.143,2.2680000000000002,0.828,56,48,1760,31.4,0.6,684,12.2,4.1,0.9,2.2680000000000002,0.38,1.6,后卫,-0.15246408101935727,54
诺曼-鲍威尔,1.8,0.4,3.2,11.5,0.5,2.1,2.9419999999999997,2.096,0.843,52,26,1479,28.4,0.5,830,16.0,3.7,1.2,2.096,0.39899999999999997,1.5,后卫,-0.20208510304478544,55
路易斯-威廉姆斯,5.6,0.2,2.6,14.4,0.4,1.2,5.215,1.7080000000000002,0.861,65,8,1864,28.7,0.5,1185,18.2,3.1,0.7,1.7080000000000002,0.35200000000000004,2.8,后卫,-0.30712638388028424,56
达迈·李,2.7,0.1,4.2,10.429,0.4,2.4,2.571,1.735,0.873,49,36,1423,29.0,0.7,621,12.7,4.9,1.0,1.735,0.35600000000000004,1.4,后卫,-0.31060763304935973,57
