,3P,FT,AST,STL,BLK,PF,TRB,W,L,cnname
Milwaukee Bucks,13.5,17.9,26.0,7.5,5.9,19.6,49.7,60,22,雄鹿
Golden State Warriors,13.3,16.3,29.4,7.6,6.4,21.4,46.2,57,25,勇士
New Orleans Pelicans,10.3,17.8,27.0,7.4,5.4,21.1,47.3,33,49,鹈鹕
Philadelphia 76ers,10.8,21.2,26.9,7.4,5.3,21.3,47.8,51,31,76人
Los Angeles Clippers,10.0,22.6,24.0,6.8,4.7,23.3,45.5,48,34,快船
Portland Trail Blazers,11.0,19.0,23.0,6.7,5.0,20.4,48.0,53,29,开拓者
Oklahoma City Thunder,11.4,17.8,23.4,9.3,5.2,22.4,48.1,49,33,雷霆
Toronto Raptors,12.4,17.7,25.4,8.3,5.3,21.0,45.2,58,24,猛龙
Sacramento Kings,11.3,16.5,25.4,8.3,4.4,21.4,45.4,39,43,国王
Washington Wizards,11.3,18.4,26.3,8.3,4.6,20.7,42.4,32,50,奇才
Houston Rockets,16.1,19.3,21.2,8.5,4.9,22.0,42.1,53,29,火箭
Atlanta Hawks,13.0,17.6,25.8,8.2,5.1,23.6,46.1,29,53,老鹰
Minnesota Timberwolves,10.1,19.1,24.6,8.3,5.0,20.3,44.8,36,46,森林狼
Boston Celtics,12.6,15.6,26.3,8.6,5.3,20.4,44.5,49,33,凯尔特人
Brooklyn Nets,12.8,19.0,23.8,6.6,4.1,21.5,46.6,42,40,篮网
Los Angeles Lakers,10.3,16.3,25.6,7.5,5.4,20.7,46.6,37,45,湖人
Utah Jazz,12.1,18.8,26.0,8.1,5.9,21.1,46.4,50,32,爵士
San Antonio Spurs,9.9,17.2,24.5,6.1,4.7,18.1,44.7,48,34,马刺
Charlotte Hornets,11.9,18.4,23.2,7.2,4.9,18.9,43.8,39,43,黄蜂
Denver Nuggets,11.0,15.8,27.4,7.7,4.4,20.0,46.4,54,28,掘金
Dallas Mavericks,12.5,18.8,23.4,6.5,4.3,20.1,45.3,33,49,独行侠
Indiana Pacers,9.5,15.8,26.0,8.7,4.9,19.4,43.0,48,34,步行者
Phoenix Suns,9.6,17.6,23.9,9.0,5.1,23.6,40.4,19,63,太阳
Orlando Magic,11.4,15.0,25.5,6.6,5.4,18.6,45.4,42,40,魔术
Detroit Pistons,12.1,17.3,22.5,6.9,4.0,22.1,45.0,41,41,活塞
Miami Heat,11.3,15.1,24.3,7.6,5.5,20.9,46.3,39,43,热火
Chicago Bulls,9.1,16.2,21.9,7.4,4.3,20.3,42.9,22,60,公牛
New York Knicks,10.0,18.1,20.1,6.8,5.1,20.9,44.7,17,65,尼克斯
Cleveland Cavaliers,10.3,16.4,20.7,6.5,2.4,20.0,42.7,19,63,骑士
Memphis Grizzlies,9.9,17.7,23.9,8.3,5.5,22.0,41.8,33,49,灰熊
