,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
177,4,0.800,0,0.000,达迈·李,13,2.600,0,0.000,0,Damion Lee,31,6.200,14,0,0.5,0,5,1.000,19,3.800,15,0.600,0,0.789,5,0,1,83,16.600,5,1.000,1962937527,46,9.200,18,3.600,2019,0,10,2.000,0,9,勇士,14,2.800,3,0.600,0,0.214,0,7,1.400
178,14,2.800,3,0.600,德安德烈-本布里,21,4.200,0,0.000,0,DeAndre' Bembry,42,8.400,17,0,0.4,0,18,3.600,16,3.200,10,0.400,0,0.625,5,3,95,120,24.000,8,1.600,1962937425,46,9.200,29,5.800,2019,0,10,2.000,0,1,老鹰,6,1.200,2,0.400,0,0.333,0,12,2.400
179,8,1.600,3,0.600,戴维斯-贝尔坦斯,17,3.400,0,0.000,0,Davis Bertans,32,6.400,14,0,0.4,0,4,0.800,5,1.000,4,2.600,0,0.800,5,0,42,87,17.400,1,0.200,4926,45,9.000,18,3.600,2019,0,4,0.800,0,27,奇才,28,5.600,13,2.600,0,0.464,0,2,0.400
180,6,2.000,2,0.700,杰伦-布朗,12,4.000,0,0.000,0,Jaylen Brown,21,7.000,11,0,0.5,0,2,0.700,5,1.667,4,0.333,0,0.800,3,3,7,54,18.000,1,0.300,1962937413,27,9.000,13,4.300,2019,0,3,1.000,0,2,凯尔特人,4,1.333,1,0.333,0,0.250,0,2,0.700
181,3,0.800,2,0.500,马基夫-莫里斯,10,2.500,0,0.000,0,Markieff Morris,29,7.250,15,0,0.5,0,10,2.500,3,0.750,2,1.000,0,0.667,4,2,88,72,18.000,0,0.000,4894,36,9.000,10,2.500,2019,0,1,0.300,0,8,活塞,12,3.000,4,1.000,0,0.333,0,6,1.500
182,1,0.300,0,0.000,帕特里克-帕特森,8,2.700,0,0.000,0,Patrick Patterson,15,5.000,11,0,0.7,0,2,0.700,2,0.667,0,1.667,0,0.000,3,0,54,48,16.000,1,0.300,4729,27,9.000,9,3.000,2019,0,0,0.000,0,12,快船,7,2.333,5,1.667,0,0.714,0,2,0.700
183,9,2.300,2,0.500,艾尔-霍福德,15,3.800,0,0.000,0,Al Horford,33,8.250,15,0,0.5,0,4,1.000,4,1.000,2,1.000,0,0.500,4,4,42,85,21.300,7,1.800,4245,36,9.000,22,5.500,2019,0,5,1.300,0,20,76人,10,2.500,4,1.000,0,0.400,0,4,1.000
184,23,5.800,0,0.000,乔-因戈尔斯,9,2.300,0,0.000,0,Joe Ingles,24,6.000,12,0,0.5,0,10,2.500,4,1.000,4,2.000,0,1.000,4,1,2,96,24.000,1,0.300,5493,36,9.000,10,2.500,2019,0,4,1.000,0,26,爵士,17,4.250,8,2.000,0,0.471,0,9,2.300
185,8,2.700,0,0.000,Darius Garland,2,0.700,0,0.000,0,Darius Garland,20,6.667,11,0,0.6,0,6,2.000,2,0.667,2,1.000,0,1.000,3,0,10,50,16.700,0,0.000,1962938422,27,9.000,2,0.700,2019,0,1,0.300,0,5,骑士,7,2.333,3,1.000,0,0.429,0,5,1.700
186,3,3.000,0,0.000,Lindell Wigginton,1,1.000,0,0.000,0,Lindell Wigginton,5,5.000,4,0,0.8,0,0,0.000,1,1.000,1,0.000,0,1.000,1,0,5,10,10.000,0,0.000,1962938552,9,9.000,1,1.000,2019,0,0,0.000,0,16,森林狼,1,1.000,0,0.000,0,0.000,0,1,1.000
187,5,5.000,0,0.000,凯尔-洛瑞,2,2.000,0,0.000,0,Kyle Lowry,12,12.000,3,0,0.2,0,0,0.000,1,1.000,1,2.000,0,1.000,1,1,7,26,26.000,0,0.000,4152,9,9.000,2,2.000,2019,0,1,1.000,0,28,猛龙,7,7.000,2,2.000,0,0.286,0,3,3.000
188,2,1.000,0,0.000,泰勒-约翰逊,2,1.000,0,0.000,0,Tyler Johnson,13,6.500,6,0,0.5,0,4,2.000,2,1.000,2,2.000,0,1.000,2,0,10,37,18.500,1,0.500,5376,18,9.000,3,1.500,2019,0,1,0.500,0,21,太阳,7,3.500,4,2.000,0,0.571,0,3,1.500
189,8,1.600,3,0.600,托尼-斯内尔,11,2.200,0,0.000,0,Tony Snell,39,7.800,16,0,0.4,0,4,0.800,3,0.600,3,1.800,0,1.000,5,5,19,107,21.400,2,0.400,5190,44,8.800,13,2.600,2019,0,2,0.400,0,8,活塞,27,5.400,9,1.800,0,0.333,0,3,0.600
190,22,5.500,0,0.000,贾斯蒂斯-温斯洛,16,4.000,0,0.000,0,Justise Winslow,41,10.250,15,0,0.4,0,9,2.300,8,2.000,5,0.000,0,0.625,4,4,7,101,25.300,2,0.500,5554,35,8.800,18,4.500,2019,0,4,1.000,0,14,热火,12,3.000,0,0.000,0,0.000,0,15,3.800
191,6,1.500,1,0.300,约什-哈特,14,3.500,0,0.000,0,Josh Hart,25,6.250,12,0,0.5,0,9,2.300,8,2.000,3,2.000,0,0.375,4,1,3,84,21.000,2,0.500,1962937756,35,8.800,16,4.000,2019,0,3,0.800,0,3,鹈鹕,18,4.500,8,2.000,0,0.444,0,3,0.800
192,4,1.000,1,0.300,格伦-罗宾逊,12,3.000,0,0.000,0,Glenn Robinson III,26,6.500,13,0,0.5,0,7,1.800,4,1.000,4,1.250,0,1.000,4,3,30,80,20.000,4,1.000,5412,35,8.800,16,4.000,2019,0,3,0.800,0,9,勇士,10,2.500,5,1.250,0,0.500,0,2,0.500
193,6,1.500,2,0.500,斯特尔林-K-布朗,17,4.300,0,0.000,0,Sterling Brown,21,5.250,12,0,0.6,0,11,2.800,6,1.500,6,1.250,0,1.000,4,1,0,80,20.000,4,1.000,1962937771,35,8.800,21,5.300,2019,0,2,0.500,0,15,雄鹿,7,1.750,5,1.250,0,0.714,0,10,2.500
194,2,0.700,0,0.000,哈米杜-迪亚洛,10,3.300,0,0.000,0,Hamidou Diallo,23,7.667,12,0,0.5,0,10,3.300,4,1.333,2,0.000,0,0.500,3,1,6,68,22.700,3,1.000,1962938056,26,8.700,13,4.300,2019,0,3,1.000,0,25,雷霆,2,0.667,0,0.000,0,0.000,0,4,1.300
195,2,0.700,0,0.000,阿利泽-约翰逊,11,3.700,0,0.000,0,Alize Johnson,16,5.333,8,0,0.5,0,9,3.000,9,3.000,7,1.000,0,0.778,3,0,12,46,15.300,6,2.000,1962938068,26,8.700,17,5.700,2019,0,1,0.300,0,11,步行者,6,2.000,3,1.000,0,0.500,0,5,1.700
196,3,1.000,0,0.000,达里奥-萨里奇,16,5.300,0,0.000,0,Dario Saric,25,8.333,9,0,0.4,0,6,2.000,4,1.333,3,1.667,0,0.750,3,3,20,65,21.700,5,1.700,5323,26,8.700,21,7.000,2019,0,2,0.700,0,21,太阳,10,3.333,5,1.667,0,0.500,0,5,1.700
197,10,3.300,0,0.000,拉简-朗多,6,2.000,0,0.000,0,Rajon Rondo,23,7.667,10,0,0.4,0,5,1.700,2,0.667,2,1.333,0,1.000,3,2,7,59,19.700,1,0.300,4149,26,8.700,7,2.300,2019,0,2,0.700,0,13,湖人,10,3.333,4,1.333,0,0.400,0,9,3.000
198,6,1.200,0,0.000,Garrison Mathews,13,2.600,0,0.000,0,Garrison Mathews,28,5.600,11,0,0.4,0,7,1.400,13,2.600,11,2.000,0,0.846,5,0,24,89,17.800,1,0.200,1962938604,43,8.600,14,2.800,2019,0,2,0.400,0,27,奇才,24,4.800,10,2.000,0,0.417,0,6,1.200
199,13,2.600,2,0.400,罗伊斯 奥尼尔,13,2.600,0,0.000,0,Royce O'Neale,29,5.800,15,0,0.5,0,10,2.000,7,1.400,7,1.200,0,1.000,5,2,23,112,22.400,4,0.800,1962937921,43,8.600,17,3.400,2019,0,3,0.600,0,26,爵士,10,2.000,6,1.200,0,0.600,0,8,1.600
