,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
詹姆斯-哈登,9.0,0.5,5.7,18.667,0.5,2.8,11.833,4.333,0.8029999999999999,6,6,173,28.8,0.8,187,31.2,6.5,2.0,4.333,0.394,4.2,后卫
斯蒂芬-库里,4.3,1.0,1.8,16.75,0.5,2.3,6.0,4.0,0.958,4,4,98,24.5,1.0,107,26.8,2.8,1.5,4.0,0.4320000000000001,2.8,后卫
扎克-拉文,3.0,0.0,3.8,13.5,0.6,1.5,4.5,3.5,0.833,4,4,96,24.0,0.5,93,23.3,4.3,1.3,3.5,0.56,3.3,后卫
C.J.麦科勒姆,3.0,0.3,2.3,13.333,0.6,1.3,3.0,3.333,0.444,3,3,75,25.0,0.3,62,20.7,2.7,0.7,3.333,0.556,2.3,后卫
卢卡-多西奇,4.3,0.3,8.5,13.0,0.4,2.0,8.5,3.25,0.735,4,4,103,25.8,1.0,82,20.5,9.5,1.3,3.25,0.419,5.3,后卫
巴迪-希尔德,4.0,0.0,2.6,15.0,0.5,3.6,2.0,3.0,0.9,5,5,138,27.6,0.4,96,19.2,3.0,0.6,3.0,0.405,2.6,后卫
Coby White,1.0,0.2,3.4,15.4,0.5,1.6,3.0,3.2,0.667,5,1,129,25.8,0.8,96,19.2,4.2,0.4,3.2,0.4320000000000001,0.6,后卫
亚历山大,1.3,0.8,4.0,13.5,0.5,1.8,4.75,1.0,0.895,4,4,106,26.5,0.8,75,18.8,4.8,0.3,1.0,0.235,3.0,后卫
多诺万米切尔,3.3,0.0,3.5,13.5,0.5,1.3,4.25,1.75,0.8240000000000001,4,4,103,25.8,0.8,73,18.3,4.3,0.3,1.75,0.368,1.3,后卫
丹吉洛-拉塞尔,3.0,0.5,2.0,14.75,0.4,2.0,2.5,2.75,0.9,4,4,99,24.8,0.3,72,18.0,2.3,0.5,2.75,0.355,2.8,后卫
特雷-杨,6.6,0.2,3.8,13.2,0.4,1.8,5.2,1.2,0.846,5,5,130,26.0,1.2,84,16.8,5.0,1.0,1.2,0.25,4.8,后卫
拉塞尔-韦斯布鲁克,4.5,0.3,2.0,13.25,0.4,3.8,5.5,1.75,0.636,4,4,100,25.0,1.3,65,16.3,3.3,2.0,1.75,0.269,5.3,后卫
达米安-利拉德,3.3,0.7,3.0,10.0,0.5,1.0,4.667,1.6669999999999998,0.929,3,3,74,24.7,0.3,48,16.0,3.3,0.3,1.6669999999999998,0.35700000000000004,3.3,后卫
RJ Barrett,3.3,0.8,5.8,13.5,0.5,2.5,3.0,1.25,0.667,4,4,149,37.3,1.0,63,15.8,6.8,0.8,1.25,0.333,1.5,后卫
诺曼-鲍威尔,1.3,0.0,2.0,8.667,0.6,1.7,2.333,3.0,0.857,3,2,60,20.0,0.3,47,15.7,2.3,0.3,3.0,0.6920000000000001,0.7,后卫
特里-罗齐尔,5.0,0.3,4.0,12.25,0.5,1.0,1.5,1.75,1.0,4,4,98,24.5,0.0,61,15.3,4.0,1.3,1.75,0.467,1.5,后卫
朱-霍勒迪,3.8,0.8,2.0,10.5,0.5,2.0,2.0,1.5,1.0,4,4,83,20.8,0.5,60,15.0,2.5,1.5,1.5,0.333,2.3,后卫
布林-福布斯,1.2,0.0,1.6,10.4,0.5,1.4,0.8,3.0,0.75,5,5,106,21.2,0.0,74,14.8,1.6,0.4,3.0,0.556,2.2,后卫
布拉德利-比尔,3.0,0.3,2.3,12.5,0.4,2.0,2.75,1.5,0.818,4,4,76,19.0,0.5,59,14.8,2.8,0.5,1.5,0.375,1.8,后卫
德阿龙-福克斯,6.0,0.8,1.8,11.75,0.4,3.8,7.0,0.5,0.7140000000000001,4,4,107,26.8,0.3,58,14.5,2.0,2.0,0.5,0.25,3.3,后卫
Tyler Herro,2.0,0.4,4.4,11.2,0.5,2.4,1.2,2.8,0.833,5,2,132,26.4,0.0,71,14.2,4.4,1.0,2.8,0.519,2.2,后卫
特伦斯-罗斯,1.4,0.6,1.4,12.0,0.4,1.0,2.0,2.6,0.8,5,0,93,18.6,0.6,71,14.2,2.0,0.8,2.6,0.325,1.0,后卫
科林-塞克斯顿,1.8,0.0,1.8,10.5,0.4,2.0,4.5,1.5,0.889,4,4,101,25.3,0.5,56,14.0,2.3,0.3,1.5,0.353,3.3,后卫
