,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
弗雷德-万维利特,7.7,0.0,3.3,9.333,0.4,1.0,4.0,2.333,0.917,3,3,78,26.0,0.0,42,14.0,3.3,2.0,2.333,0.438,1.3,后卫
路易斯-威廉姆斯,3.3,0.0,3.0,8.667,0.4,0.7,6.332999999999998,1.0,0.895,3,1,50,16.7,0.3,42,14.0,3.3,0.7,1.0,0.273,1.0,后卫
肯德里克-纳恩,3.6,0.0,1.2,10.4,0.5,1.6,1.2,2.2,0.667,5,2,92,18.4,0.2,69,13.8,1.4,1.0,2.2,0.478,1.0,后卫
德文-布克,4.0,0.0,3.3,10.333,0.4,2.3,4.333,1.0,0.923,3,3,69,23.0,0.3,41,13.7,3.7,1.7,1.0,0.333,4.0,后卫
德玛尔-德罗赞,3.0,0.0,2.7,8.333,0.5,1.0,5.332999999999998,1.0,0.813,3,3,70,23.3,0.7,40,13.3,3.3,0.0,1.0,1.0,1.0,后卫
狄龙布鲁克斯,0.6,0.0,0.8,11.2,0.4,2.8,3.4,1.8,0.882,5,4,111,22.2,0.4,66,13.2,1.2,0.4,1.8,0.375,1.4,后卫
杰森-塔图姆,1.0,0.7,5.7,13.0,0.4,0.0,1.6669999999999998,1.6669999999999998,0.4,3,3,63,21.0,0.3,39,13.0,6.0,2.0,1.6669999999999998,0.313,2.3,后卫
本-西蒙斯,5.0,0.7,6.0,8.667,0.6,2.3,3.667,0.333,0.545,3,3,68,22.7,1.3,39,13.0,7.3,1.7,0.333,1.0,3.7,后卫
埃里克-戈登,1.8,0.7,0.7,9.333,0.5,0.5,0.833,3.167,1.0,6,4,129,21.5,0.2,78,13.0,0.8,1.0,3.167,0.463,1.2,后卫
凯利-乌布雷,1.0,0.7,3.0,10.333,0.3,3.0,7.332999999999998,1.0,0.8640000000000001,3,2,60,20.0,0.3,38,12.7,3.3,1.3,1.0,0.214,1.3,后卫
德里克-罗斯,3.5,0.5,2.3,10.75,0.4,1.8,3.5,0.0,0.857,4,0,83,20.8,0.3,50,12.5,2.5,0.5,0.0,0.0,1.5,后卫
乔丹-麦克雷,2.0,0.8,1.5,9.5,0.5,2.0,0.75,2.0,0.667,4,1,84,21.0,0.0,50,12.5,1.5,1.0,2.0,0.5329999999999999,0.8,后卫
博格丹-博格达诺维奇,4.5,0.3,2.5,9.75,0.4,2.3,2.0,2.5,0.75,4,0,101,25.3,0.5,50,12.5,3.0,0.8,2.5,0.556,2.8,后卫
Jarrett Culver,2.0,0.4,2.2,12.2,0.4,1.0,1.8,1.4,0.556,5,0,118,23.6,1.2,62,12.4,3.4,1.0,1.4,0.28,1.6,后卫
约什-理查德森,4.0,0.6,1.6,9.6,0.4,1.2,3.2,1.6,0.75,5,5,115,23.0,1.0,62,12.4,2.6,1.8,1.6,0.333,1.0,后卫
德文特-葛拉罕,3.8,0.0,2.8,8.8,0.5,1.6,2.2,2.0,0.636,5,1,120,24.0,1.0,61,12.2,3.8,0.8,2.0,0.4,2.6,后卫
肯巴-沃克,2.0,0.0,0.5,6.5,0.5,1.0,4.5,2.5,0.778,2,2,36,18.0,0.0,24,12.0,0.5,0.5,2.5,0.625,1.5,后卫
小蒂姆-哈达威,2.2,0.2,1.6,9.0,0.5,1.2,0.8,2.4,1.0,5,2,109,21.8,0.0,58,11.6,1.6,0.8,2.4,0.429,0.2,后卫
卢克-肯纳德,1.5,0.0,3.5,8.25,0.5,1.3,1.5,2.25,0.833,4,1,91,22.8,0.3,46,11.5,3.8,0.3,2.25,0.474,2.5,后卫
乔丹-克拉克森,1.8,0.3,1.5,8.25,0.5,1.3,0.75,2.25,1.0,4,0,73,18.3,0.0,46,11.5,1.5,0.8,2.25,0.45,1.3,后卫
Ja Morant,7.3,0.5,2.5,10.25,0.4,1.0,3.5,0.25,0.5710000000000001,4,4,87,21.8,1.0,45,11.3,3.5,0.5,0.25,0.14300000000000002,2.3,后卫
卡里斯-勒维尔,4.3,0.3,3.0,7.25,0.6,1.5,2.5,1.5,0.7,4,4,69,17.3,0.3,45,11.3,3.3,2.0,1.5,0.462,1.8,后卫
杰里米-兰姆,2.5,0.0,3.5,9.0,0.4,1.3,2.75,1.25,0.909,4,4,94,23.5,0.5,45,11.3,4.0,1.3,1.25,0.294,1.8,后卫
肯塔维厄斯 卡德维尔-波普,1.5,0.2,3.2,10.0,0.4,2.8,2.167,1.6669999999999998,0.615,6,3,161,26.8,1.0,68,11.3,4.2,0.8,1.6669999999999998,0.345,1.5,后卫
麦克-康利,3.8,0.0,1.0,9.25,0.4,2.5,3.75,1.0,1.0,4,4,93,23.3,0.3,45,11.3,1.3,0.5,1.0,0.267,2.0,后卫
马利克-比斯利,1.7,0.7,4.3,9.0,0.4,2.0,1.6669999999999998,1.0,1.0,3,0,58,19.3,0.0,32,10.7,4.3,1.0,1.0,0.3,1.3,后卫
斯宾瑟-丁威迪,5.5,0.0,4.0,10.25,0.3,1.8,3.75,1.75,0.733,4,2,87,21.8,0.8,42,10.5,4.8,1.0,1.75,0.333,2.3,后卫
沙巴兹-内皮尔,3.8,0.0,2.2,7.8,0.4,1.2,4.2,1.2,0.857,5,0,90,18.0,1.2,52,10.4,3.4,1.2,1.2,0.261,1.0,后卫
DeAndre Hunter,2.4,0.2,2.2,8.0,0.5,2.2,1.6,1.4,0.5,5,4,115,23.0,0.0,51,10.2,2.2,0.4,1.4,0.389,1.4,后卫
多特-迪万斯索,2.6,0.2,3.6,9.4,0.4,1.8,2.2,1.0,0.818,5,0,104,20.8,1.0,50,10.0,4.6,1.2,1.0,0.227,2.6,后卫
帕蒂-米尔斯,3.0,0.0,2.8,8.0,0.5,1.8,1.5,1.5,0.5,4,0,73,18.3,0.0,39,9.8,2.8,0.5,1.5,0.429,1.8,后卫
贾马尔-穆雷,4.0,0.3,2.8,9.25,0.4,2.0,2.75,0.5,0.818,4,4,90,22.5,0.8,39,9.8,3.5,1.0,0.5,0.222,2.0,后卫
Brandon Clarke,1.5,0.3,7.0,7.25,0.6,0.5,2.25,0.0,0.778,4,4,79,19.8,2.8,39,9.8,9.8,0.5,0.0,0.0,1.0,后卫
本-麦克勒莫,0.7,0.0,0.8,8.167,0.4,2.2,0.0,2.667,0.0,6,1,112,18.7,0.7,58,9.7,1.5,0.3,2.667,0.39,1.0,后卫
鲁迪-盖伊,1.3,0.3,4.7,8.333,0.4,1.3,0.667,1.6669999999999998,1.0,3,0,59,19.7,0.3,29,9.7,5.0,0.3,1.6669999999999998,0.417,2.0,后卫
马利克-莫克,2.3,0.5,2.0,7.0,0.5,0.8,1.0,1.5,1.0,4,0,65,16.3,0.0,38,9.5,2.0,1.0,1.5,0.353,1.3,后卫
凯里-欧文,2.0,0.0,1.5,8.5,0.4,0.5,1.5,1.0,1.0,2,2,26,13.0,0.0,19,9.5,1.5,1.0,1.0,0.4,2.0,后卫
洛伦佐-波尔,5.4,0.4,3.0,8.2,0.3,1.4,2.6,1.8,0.769,5,5,114,22.8,0.6,47,9.4,3.6,1.0,1.8,0.31,1.6,后卫
马尔科姆-布罗格登,6.0,0.0,2.5,7.5,0.3,2.3,2.75,1.75,0.909,4,4,98,24.5,0.8,37,9.3,3.3,0.3,1.75,0.5379999999999999,2.0,后卫
戈兰-德拉季奇,4.8,0.0,1.8,6.25,0.5,1.8,0.75,2.0,1.0,4,0,80,20.0,0.5,37,9.3,2.3,0.8,2.0,0.5329999999999999,2.8,后卫
雷吉-杰克逊,3.3,0.3,1.5,11.25,0.3,2.0,1.5,1.25,1.0,4,4,86,21.5,0.0,37,9.3,1.5,0.3,1.25,0.278,2.0,后卫
艾伦-霍利迪,3.3,0.3,1.0,8.333,0.4,2.7,2.667,1.0,0.875,3,0,47,15.7,0.3,28,9.3,1.3,0.0,1.0,0.25,1.3,后卫
德章泰-穆雷,3.6,0.2,3.8,7.2,0.4,2.6,2.8,0.6,0.7859999999999999,5,5,93,18.6,0.0,46,9.2,3.8,1.2,0.6,0.6,1.4,后卫
达迈·李,0.8,0.0,2.6,6.2,0.5,1.0,3.8,0.6,0.789,5,0,83,16.6,1.0,46,9.2,3.6,2.0,0.6,0.214,1.4,后卫
杰伦-布朗,2.0,0.7,4.0,7.0,0.5,0.7,1.6669999999999998,0.333,0.8,3,3,54,18.0,0.3,27,9.0,4.3,1.0,0.333,0.25,0.7,后卫
乔-因戈尔斯,5.8,0.0,2.3,6.0,0.5,2.5,1.0,2.0,1.0,4,1,96,24.0,0.3,36,9.0,2.5,1.0,2.0,0.471,2.3,后卫
Darius Garland,2.7,0.0,0.7,6.667000000000002,0.6,2.0,0.667,1.0,1.0,3,0,50,16.7,0.0,27,9.0,0.7,0.3,1.0,0.429,1.7,后卫
凯尔-洛瑞,5.0,0.0,2.0,12.0,0.2,0.0,1.0,2.0,1.0,1,1,26,26.0,0.0,9,9.0,2.0,1.0,2.0,0.28600000000000003,3.0,后卫
贾斯蒂斯-温斯洛,5.5,0.0,4.0,10.25,0.4,2.3,2.0,0.0,0.625,4,4,101,25.3,0.5,35,8.8,4.5,1.0,0.0,0.0,3.8,后卫
约什-哈特,1.5,0.3,3.5,6.25,0.5,2.3,2.0,2.0,0.375,4,1,84,21.0,0.5,35,8.8,4.0,0.8,2.0,0.444,0.8,后卫
