cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
维克托-奥拉迪波,2.5,0.5,5.0,14.0,0.5,1.0,5.0,3.5,1.0,2,2,53,26.5,0.0,47,23.5,5.0,1.0,3.5,0.467,2.5
克雷-汤普森,2.0,0.5,4.0,14.0,0.6,0.5,2.5,4.5,0.8,2,2,43,21.5,0.0,47,23.5,4.0,1.0,4.5,0.643,1.0
乔尔-恩比德,2.5,0.5,6.3,16.25,0.5,3.0,7.0,0.5,0.7140000000000001,4,4,98,24.5,2.3,92,23.0,8.5,1.0,0.5,0.111,4.0
保罗-乔治,2.5,0.5,4.5,17.0,0.4,3.0,9.5,2.5,0.8420000000000001,2,2,51,25.5,1.0,45,22.5,5.5,3.0,2.5,0.35700000000000004,1.5
斯蒂芬-库里,4.0,0.5,0.5,12.5,0.6,2.5,3.0,4.0,1.0,2,2,44,22.0,0.5,44,22.0,1.0,1.0,4.0,0.47100000000000003,3.0
卡尔-安东尼-唐斯,1.3,1.8,6.8,14.25,0.5,2.8,6.75,1.5,0.815,4,4,107,26.8,1.3,86,21.5,8.0,0.5,1.5,0.5,1.5
尼科拉-武切维奇,2.3,1.7,7.3,17.0,0.5,1.3,3.0,0.667,1.0,3,3,80,26.7,1.3,63,21.0,8.7,0.7,0.667,0.2,1.3
安德鲁-德拉蒙德,1.0,1.0,7.3,19.333,0.5,4.0,5.667000000000001,0.0,0.41200000000000003,3,3,89,29.7,4.7,63,21.0,12.0,1.7,0.0,0.0,1.7
达尼罗-加里纳利,4.5,2.0,3.5,12.0,0.6,1.5,5.0,1.5,1.0,2,2,51,25.5,0.5,41,20.5,4.0,0.5,1.5,0.33299999999999996,1.5
德安德烈-艾顿,1.8,2.5,7.5,13.5,0.6,3.0,5.75,0.0,0.7829999999999999,4,4,119,29.8,4.0,82,20.5,11.5,1.0,0.0,0.0,2.0
托拜亚斯-哈里斯,3.7,0.7,6.7,13.667,0.5,2.7,3.667,3.0,0.909,3,3,78,26.0,1.7,61,20.3,8.3,0.0,3.0,0.5,1.3
扬尼斯-阿德托昆博,3.5,0.5,11.0,12.5,0.6,2.0,8.0,1.0,0.5,2,2,49,24.5,0.5,40,20.0,11.5,1.0,1.0,0.4,1.0
詹姆斯-哈登,8.3,0.7,3.7,13.333,0.4,3.7,7.332999999999999,3.333,0.818,3,3,94,31.3,0.7,58,19.3,4.3,2.0,3.333,0.345,7.0
PJ-塔克,0.0,0.0,6.0,15.0,0.5,2.0,2.0,3.0,1.0,1,1,34,34.0,1.0,19,19.0,7.0,1.0,3.0,0.375,0.0
尼古拉-米罗蒂奇,1.0,0.0,11.0,20.0,0.4,2.0,5.0,2.0,0.6,1,1,37,37.0,1.0,19,19.0,12.0,0.0,2.0,0.182,3.0
扎克-拉文,1.3,0.3,3.0,12.667,0.5,1.0,4.333,1.3330000000000002,0.846,3,3,65,21.7,0.3,55,18.3,3.3,1.0,1.3330000000000002,0.4,3.0
鲍比-波蒂斯,0.3,0.0,5.0,14.667,0.5,2.7,2.667,0.667,0.875,3,0,72,24.0,0.3,55,18.3,5.3,1.0,0.667,0.182,1.0
丹吉洛-拉塞尔,2.0,0.0,2.5,17.0,0.4,0.0,1.5,3.0,0.667,2,2,52,26.0,0.0,36,18.0,2.5,1.0,3.0,0.353,1.0
凯文-杜兰特,5.0,0.3,4.0,12.667,0.6,0.3,3.333,1.3330000000000002,0.8,3,3,69,23.0,1.0,54,18.0,5.0,0.7,1.3330000000000002,0.444,2.3
丹尼斯-施罗德,7.0,0.3,3.7,15.333,0.4,2.7,5.0,1.3330000000000002,0.733,3,3,81,27.0,1.0,53,17.7,4.7,0.7,1.3330000000000002,0.5710000000000001,3.0
凯文-乐福,0.0,0.0,4.0,10.0,0.5,2.0,7.0,2.0,0.7140000000000001,1,1,17,17.0,0.0,17,17.0,4.0,1.0,2.0,0.667,0.0
迈克尔 卡特-威廉姆斯,3.5,0.0,2.0,9.0,0.7,3.0,6.5,0.0,0.769,2,0,50,25.0,2.0,34,17.0,4.0,0.5,0.0,0.0,1.0
阿隆-戈登,3.3,1.7,6.7,12.667,0.5,2.0,3.667,1.6669999999999998,0.727,3,3,83,27.7,1.0,51,17.0,7.7,1.0,1.6669999999999998,0.41700000000000004,1.3
布拉德利-比尔,2.3,1.0,3.3,13.333,0.4,2.7,4.333,1.6669999999999998,0.769,3,3,75,25.0,0.7,51,17.0,4.0,1.7,1.6669999999999998,0.23800000000000002,1.0
布雷克-格里芬,2.0,0.0,5.0,14.0,0.4,1.0,4.0,2.0,0.75,1,1,21,21.0,4.0,17,17.0,9.0,0.0,2.0,0.4,0.0
伊内斯-坎特,1.7,0.7,8.3,10.0,0.5,2.3,8.0,0.0,0.792,3,3,67,22.3,5.0,49,16.3,13.3,1.0,0.0,0.0,0.7
多曼塔斯-萨博尼斯,2.7,0.7,8.0,14.667,0.4,3.3,4.333,0.33299999999999996,0.6920000000000001,3,1,71,23.7,4.7,48,16.0,12.7,0.7,0.33299999999999996,0.5,4.0
尤吉-费雷尔,2.0,0.5,2.0,11.5,0.5,3.0,3.5,3.0,0.28600000000000003,2,0,56,28.0,0.5,32,16.0,2.5,2.0,3.0,0.462,0.5
卡里斯-勒维尔,5.0,0.0,4.5,14.0,0.5,2.5,2.5,1.0,0.8,2,2,56,28.0,0.5,32,16.0,5.0,2.0,1.0,0.25,4.5
JJ-雷迪克,2.8,0.0,0.3,8.5,0.6,1.8,3.0,3.25,0.833,4,0,84,21.0,0.3,63,15.8,0.5,0.3,3.25,0.565,0.3
阿伦佐-特里尔,1.8,0.3,2.0,9.25,0.5,3.3,5.0,0.75,1.0,4,0,90,22.5,0.3,63,15.8,2.3,0.5,0.75,0.375,2.8
哈里-贾尔斯,2.0,1.3,4.8,12.5,0.5,4.8,5.0,0.5,0.65,4,0,90,22.5,1.5,61,15.3,6.3,0.3,0.5,0.667,1.8
