,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
乔尔-恩比德,2.5,0.5,6.3,16.25,0.5,3.0,7.0,0.5,0.7140000000000001,4,4,98,24.5,2.3,92,23.0,8.5,1.0,0.5,0.111,4.0,前锋
保罗-乔治,2.5,0.5,4.5,17.0,0.4,3.0,9.5,2.5,0.8420000000000001,2,2,51,25.5,1.0,45,22.5,5.5,3.0,2.5,0.35700000000000004,1.5,前锋
卡尔-安东尼-唐斯,1.3,1.8,6.8,14.25,0.5,2.8,6.75,1.5,0.815,4,4,107,26.8,1.3,86,21.5,8.0,0.5,1.5,0.5,1.5,前锋
达尼罗-加里纳利,4.5,2.0,3.5,12.0,0.6,1.5,5.0,1.5,1.0,2,2,51,25.5,0.5,41,20.5,4.0,0.5,1.5,0.333,1.5,前锋
托拜亚斯-哈里斯,3.7,0.7,6.7,13.667,0.5,2.7,3.667,3.0,0.909,3,3,78,26.0,1.7,61,20.3,8.3,0.0,3.0,0.5,1.3,前锋
扬尼斯-阿德托昆博,3.5,0.5,11.0,12.5,0.6,2.0,8.0,1.0,0.5,2,2,49,24.5,0.5,40,20.0,11.5,1.0,1.0,0.4,1.0,前锋
扎克-拉文,1.3,0.3,3.0,12.667,0.5,1.0,4.333,1.3330000000000002,0.846,3,3,65,21.7,0.3,55,18.3,3.3,1.0,1.3330000000000002,0.4,3.0,前锋
鲍比-波蒂斯,0.3,0.0,5.0,14.667,0.5,2.7,2.667,0.667,0.875,3,0,72,24.0,0.3,55,18.3,5.3,1.0,0.667,0.182,1.0,前锋
凯文-乐福,0.0,0.0,4.0,10.0,0.5,2.0,7.0,2.0,0.7140000000000001,1,1,17,17.0,0.0,17,17.0,4.0,1.0,2.0,0.667,0.0,前锋
阿隆-戈登,3.3,1.7,6.7,12.667,0.5,2.0,3.667,1.6669999999999998,0.727,3,3,83,27.7,1.0,51,17.0,7.7,1.0,1.6669999999999998,0.417,1.3,前锋
布雷克-格里芬,2.0,0.0,5.0,14.0,0.4,1.0,4.0,2.0,0.75,1,1,21,21.0,4.0,17,17.0,9.0,0.0,2.0,0.4,0.0,前锋
多曼塔斯-萨博尼斯,2.7,0.7,8.0,14.667,0.4,3.3,4.333,0.333,0.6920000000000001,3,1,71,23.7,4.7,48,16.0,12.7,0.7,0.333,0.5,4.0,前锋
布兰登-英格拉姆,1.8,0.8,4.5,11.0,0.5,2.8,5.75,0.0,0.7390000000000001,4,4,103,25.8,0.5,61,15.3,5.0,1.5,0.0,0.0,2.5,前锋
小蒂姆-哈达威,2.0,0.3,2.5,12.25,0.4,2.0,4.5,2.0,0.722,4,4,85,21.3,0.3,59,14.8,2.8,0.5,2.0,0.381,1.5,前锋
安东尼-戴维斯,1.7,2.0,6.3,12.667,0.4,1.0,5.667000000000002,0.333,0.765,3,3,62,20.7,1.7,44,14.7,8.0,2.7,0.333,0.125,2.3,前锋
科怀-莱昂纳德,1.5,0.0,2.0,10.0,0.4,2.0,9.5,0.5,0.526,2,2,38,19.0,1.0,29,14.5,3.0,1.0,0.5,0.16699999999999998,1.0,前锋
科迪-泽勒,1.3,1.3,3.3,10.0,0.6,3.0,3.0,0.667,0.444,3,3,66,22.0,1.3,42,14.0,4.7,0.3,0.667,0.5,1.0,前锋
卢卡-多西奇,3.3,1.7,5.0,8.667,0.5,1.0,5.332999999999998,2.0,0.625,3,3,86,28.7,0.3,42,14.0,5.3,1.0,2.0,0.462,4.0,前锋
克里斯-米德尔顿,2.5,0.5,4.0,9.5,0.5,1.5,3.0,2.0,1.0,2,2,47,23.5,0.5,28,14.0,4.5,0.5,2.0,0.444,1.5,前锋
马库斯-莫里斯,0.8,0.5,3.3,10.75,0.4,2.8,2.25,2.5,0.778,4,0,83,20.8,0.8,55,13.8,4.0,0.5,2.5,0.417,0.8,前锋
卡梅隆-安东尼,0.0,0.3,4.7,9.333,0.5,2.0,0.667,3.0,1.0,3,2,82,27.3,0.3,41,13.7,5.0,0.7,3.0,0.5,0.3,前锋
凯尔-库兹马,1.8,0.3,3.8,11.75,0.4,3.3,3.0,1.5,0.833,4,2,97,24.3,0.3,54,13.5,4.0,0.8,1.5,0.333,1.8,前锋
勒布朗-詹姆斯,3.3,0.3,3.0,7.332999999999998,0.6,1.3,4.333,1.0,0.846,3,3,46,15.3,0.0,40,13.3,3.0,0.7,1.0,0.75,2.7,前锋
凯利-乌布雷,2.0,0.7,4.0,10.667,0.4,3.0,3.333,1.0,0.8,3,0,73,24.3,0.7,39,13.0,4.7,0.7,1.0,0.25,3.0,前锋
乔-因戈尔斯,5.3,0.0,3.7,9.333,0.4,2.3,3.333,2.333,0.8,3,3,67,22.3,0.0,39,13.0,3.7,0.7,2.333,0.35,1.7,前锋
特伦斯-罗斯,1.0,0.0,2.0,9.0,0.6,1.0,2.0,3.0,0.0,1,0,15,15.0,0.0,13,13.0,2.0,3.0,3.0,0.75,0.0,前锋
贾伦-杰克逊,2.0,0.0,2.3,7.332999999999998,0.6,4.0,4.333,0.667,0.6920000000000001,3,0,61,20.3,2.3,39,13.0,4.7,0.7,0.667,0.5,2.3,前锋
朱利叶斯-兰德尔,3.0,0.5,5.5,7.5,0.7,3.0,5.5,0.5,0.455,2,2,45,22.5,0.5,26,13.0,6.0,1.0,0.5,0.333,2.5,前锋
马克西-克勒贝尔,1.3,2.0,6.3,6.667000000000002,0.6,2.0,4.0,2.0,0.917,3,0,66,22.0,1.0,39,13.0,7.3,0.7,2.0,0.5,0.7,前锋
