,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
乔尔-恩比德,1.3,0.8,4.3,9.75,0.5,2.8,8.25,0.5,0.879,4,4,81,20.3,2.3,73,18.3,6.5,0.3,0.5,0.222,2.5,中锋
卡尔-安东尼-唐斯,3.2,1.4,5.0,11.2,0.5,1.4,3.4,2.4,0.941,5,5,106,21.2,1.0,86,17.2,6.0,1.0,2.4,0.387,2.0,中锋
朱利叶斯-兰德尔,4.5,1.0,7.3,12.75,0.4,3.3,4.5,1.75,0.778,4,4,125,31.3,0.8,65,16.3,8.0,1.0,1.75,0.438,3.5,中锋
克里斯塔普斯-波尔津吉斯,1.5,0.5,7.5,15.25,0.4,3.3,2.5,2.0,0.8,4,4,92,23.0,2.0,64,16.0,9.5,0.5,2.0,0.28600000000000003,1.8,中锋
斯蒂文-亚当斯,1.7,0.3,4.7,9.667,0.7,1.7,5.0,0.333,0.467,3,3,68,22.7,2.7,48,16.0,7.3,0.7,0.333,1.0,2.0,中锋
蒙特雷斯-哈雷尔,2.6,0.8,4.4,11.8,0.5,1.8,5.8,0.0,0.69,5,1,112,22.4,1.2,80,16.0,5.6,0.8,0.0,0.0,0.8,中锋
鲁迪-戈贝尔,0.7,1.7,5.7,7.332999999999998,0.6,3.0,9.0,0.0,0.63,3,3,75,25.0,2.3,45,15.0,8.0,0.3,0.0,0.0,1.3,中锋
安德鲁-德拉蒙德,2.5,1.3,6.5,11.75,0.5,1.3,6.0,0.0,0.458,4,4,94,23.5,3.8,59,14.8,10.3,1.0,0.0,0.0,2.8,中锋
特里斯坦-汤普森,2.0,0.0,5.0,11.5,0.6,2.5,1.5,0.0,0.333,2,2,55,27.5,4.0,29,14.5,9.0,0.5,0.0,0.0,1.0,中锋
贾伦-杰克逊,1.4,1.6,6.0,10.8,0.4,4.4,4.8,1.6,0.75,5,5,123,24.6,1.4,72,14.4,7.4,0.6,1.6,0.348,2.4,中锋
德安德烈-艾顿,1.7,1.0,3.3,10.333,0.7,3.0,0.0,0.0,0.0,3,3,62,20.7,3.3,42,14.0,6.7,0.0,0.0,0.0,2.7,中锋
克林特-卡佩拉,1.0,1.5,6.3,8.0,0.7,2.2,5.0,0.0,0.6,6,6,136,22.7,2.7,84,14.0,9.0,0.5,0.0,0.0,1.5,中锋
弗兰克-卡明斯基,2.8,0.3,4.3,9.0,0.5,0.8,3.5,2.0,0.857,4,0,94,23.5,1.0,54,13.5,5.3,0.3,2.0,0.421,1.3,中锋
安东尼-戴维斯,3.8,1.5,4.8,10.5,0.4,1.5,4.75,0.25,0.789,4,4,83,20.8,1.5,52,13.0,6.3,1.0,0.25,0.111,1.5,中锋
托马斯-布莱恩特,1.6,0.4,7.0,10.2,0.5,2.0,2.8,1.8,0.7140000000000001,5,5,113,22.6,2.0,65,13.0,9.0,0.2,1.8,0.429,1.4,中锋
拉马库斯-阿尔德里奇,1.8,1.3,4.8,10.25,0.5,1.0,2.5,0.5,0.7,4,4,88,22.0,1.3,51,12.8,6.0,1.0,0.5,0.667,1.0,中锋
多曼塔斯-萨博尼斯,2.8,0.5,8.5,10.75,0.4,2.0,4.25,0.25,0.647,4,4,98,24.5,2.8,50,12.5,11.3,0.5,0.25,0.125,2.5,中锋
劳里-马尔卡宁,2.0,0.0,7.0,10.5,0.4,2.0,1.75,2.0,0.7140000000000001,4,4,91,22.8,1.3,45,11.3,8.3,0.5,2.0,0.333,1.3,中锋
巴姆-阿德巴约,2.6,1.6,7.4,7.8,0.5,3.0,3.8,0.0,0.8420000000000001,5,5,118,23.6,2.2,56,11.2,9.6,0.6,0.0,0.0,1.8,中锋
尼科拉-武切维奇,2.0,0.5,4.5,10.25,0.5,2.3,2.5,0.25,0.5,4,4,85,21.3,1.3,44,11.0,5.8,0.5,0.25,0.16699999999999998,2.3,中锋
迈尔斯-特纳,2.3,3.8,4.5,8.25,0.5,2.0,1.75,1.0,0.857,4,4,95,23.8,1.8,44,11.0,6.3,1.3,1.0,0.5,1.8,中锋
布鲁克-洛佩兹,1.3,1.3,4.3,6.75,0.6,3.3,1.0,1.75,0.75,4,4,90,22.5,0.0,42,10.5,4.3,0.5,1.75,0.412,3.0,中锋
约翰-科林斯,0.8,1.0,5.8,10.0,0.4,1.8,3.75,0.75,0.5329999999999999,4,4,102,25.5,1.8,41,10.3,7.5,0.8,0.75,0.25,3.0,中锋
贾勒特艾伦,1.3,1.8,3.8,6.0,0.6,1.0,3.5,0.0,0.5710000000000001,4,3,82,20.5,1.8,38,9.5,5.5,0.8,0.0,0.0,2.3,中锋
艾尔-霍福德,2.3,0.5,3.8,8.25,0.5,1.0,1.0,1.0,0.5,4,4,85,21.3,1.8,36,9.0,5.5,1.3,1.0,0.4,1.0,中锋
达里奥-萨里奇,1.0,0.0,5.3,8.333,0.4,2.0,1.3330000000000002,1.6669999999999998,0.75,3,3,65,21.7,1.7,26,8.7,7.0,0.7,1.6669999999999998,0.5,1.7,中锋
