,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
0,5,2.500,1,0.500,维克托-奥拉迪波,10,5.000,0,0.000,0,Victor Oladipo,28,14.000,15,0,0.5,0,2,1.000,10,5.000,10,3.500,0,1.000,2,2,4,53,26.500,0,0.000,5153,47,23.500,10,5.000,2018,0,2,1.000,0,11,步行者,15,7.500,7,3.500,0,0.467,0,5,2.500
1,4,2.000,1,0.500,克雷-汤普森,8,4.000,0,0.000,0,Klay Thompson,28,14.000,17,0,0.6,0,1,0.500,5,2.500,4,4.500,0,0.800,2,2,11,43,21.500,0,0.000,4892,47,23.500,8,4.000,2018,0,2,1.000,0,9,勇士,14,7.000,9,4.500,0,0.643,0,2,1.000
2,10,2.500,2,0.500,乔尔-恩比德,25,6.300,2,0.000,0,Joel Embiid,65,16.250,35,0,0.5,0,12,3.000,28,7.000,20,0.500,0,0.714,4,4,21,98,24.500,9,2.300,5294,92,23.000,34,8.500,2018,0,4,1.000,0,20,76人,18,4.500,2,0.500,0,0.111,0,16,4.000
3,5,2.500,1,0.500,保罗-乔治,9,4.500,0,0.000,0,Paul George,34,17.000,12,0,0.4,0,6,3.000,19,9.500,16,2.500,0,0.842,2,2,13,51,25.500,2,1.000,4725,45,22.500,11,5.500,2018,0,6,3.000,0,25,雷霆,14,7.000,5,2.500,0,0.357,0,3,1.500
4,8,4.000,1,0.500,斯蒂芬-库里,1,0.500,0,0.000,0,Stephen Curry,25,12.500,15,0,0.6,0,5,2.500,6,3.000,6,4.000,0,1.000,2,2,30,44,22.000,1,0.500,4612,44,22.000,2,1.000,2018,0,2,1.000,0,9,勇士,17,8.500,8,4.000,0,0.471,0,6,3.000
5,5,1.300,7,1.800,卡尔-安东尼-唐斯,27,6.800,1,0.000,0,Karl-Anthony Towns,57,14.250,29,0,0.5,0,11,2.800,27,6.750,22,1.500,0,0.815,4,4,32,107,26.800,5,1.300,5546,86,21.500,32,8.000,2018,0,2,0.500,0,16,森林狼,12,3.000,6,1.500,0,0.500,0,6,1.500
6,7,2.300,5,1.700,尼科拉-武切维奇,22,7.300,1,0.000,0,Nikola Vucevic,51,17.000,26,0,0.5,0,4,1.300,9,3.000,9,0.667,0,1.000,3,3,9,80,26.700,4,1.300,4897,63,21.000,26,8.700,2018,0,2,0.700,0,19,魔术,10,3.333,2,0.667,0,0.200,0,4,1.300
7,3,1.000,3,1.000,安德鲁-德拉蒙德,22,7.300,3,0.000,0,Andre Drummond,58,19.333,28,0,0.5,0,12,4.000,17,5.667,7,0.000,0,0.412,3,3,3,89,29.700,14,4.700,5015,63,21.000,36,12.000,2018,0,5,1.700,0,8,活塞,6,2.000,0,0.000,0,0.000,0,5,1.700
8,9,4.500,4,2.000,达尼罗-加里纳利,7,3.500,0,0.000,0,Danilo Gallinari,24,12.000,14,0,0.6,0,3,1.500,10,5.000,10,1.500,0,1.000,2,2,8,51,25.500,1,0.500,4468,41,20.500,8,4.000,2018,0,1,0.500,0,12,快船,9,4.500,3,1.500,0,0.333,0,3,1.500
9,7,1.800,10,2.500,德安德烈-艾顿,30,7.500,2,0.000,0,Deandre Ayton,54,13.500,32,0,0.6,0,12,3.000,23,5.750,18,0.000,0,0.783,4,4,22,119,29.800,16,4.000,1962938088,82,20.500,46,11.500,2018,0,4,1.000,0,21,太阳,0,0.000,0,0.000,0,0.000,0,8,2.000
