cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
詹姆斯-哈登,7.5,0.9,5.5,22.265,0.4,3.3,11.765,4.397,0.865,68,68,2483,36.5,1.0,2335,34.3,6.6,1.8,4.397,0.355,4.5
布拉德利-比尔,6.1,0.4,3.3,22.86,0.5,2.2,8.017999999999999,2.9819999999999998,0.8420000000000001,57,57,2053,36.0,0.9,1741,30.5,4.2,1.2,2.9819999999999998,0.353,3.4
达米安-利拉德,8.0,0.3,3.8,20.439,0.5,1.7,7.848,4.091,0.888,66,66,2474,37.5,0.5,1978,30.0,4.3,1.1,4.091,0.401,2.9
特雷-杨,9.3,0.1,3.7,20.816999999999997,0.4,1.7,9.317,3.417,0.86,60,60,2120,35.3,0.5,1778,29.6,4.3,1.1,3.417,0.361,4.8
扬尼斯-阿德托昆博,5.6,1.0,11.4,19.651,0.6,3.1,9.984,1.413,0.633,63,63,1917,30.4,2.2,1857,29.5,13.6,1.0,1.413,0.304,3.7
卢卡-多西奇,8.8,0.2,8.1,20.574,0.5,2.5,9.213,2.803,0.758,61,61,2047,33.6,1.3,1759,28.8,9.4,1.0,2.803,0.316,4.3
凯里-欧文,6.4,0.5,4.1,20.8,0.5,2.7,5.1,2.8,0.922,20,20,658,32.9,1.1,548,27.4,5.2,1.4,2.8,0.39399999999999996,2.6
拉塞尔-韦斯布鲁克,7.0,0.4,6.2,22.474,0.5,3.5,6.667000000000001,0.965,0.763,57,57,2049,35.9,1.8,1553,27.2,7.9,1.6,0.965,0.258,4.5
科怀-莱昂纳德,4.9,0.6,6.1,19.877,0.5,2.0,7.053,2.158,0.8859999999999999,57,57,1848,32.4,0.9,1543,27.1,7.1,1.8,2.158,0.37799999999999995,2.6
德文-布克,6.5,0.3,3.8,18.329,0.5,3.0,7.271,2.0140000000000002,0.919,70,70,2512,35.9,0.4,1863,26.6,4.2,0.7,2.0140000000000002,0.354,3.8
