,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
伊万-福尼耶,3.2,0.2,2.3,14.076,0.5,2.4,3.333,2.6210000000000004,0.818,66,66,2076,31.5,0.3,1221,18.5,2.6,1.1,2.6210000000000004,0.399,1.9,前锋
凯文-乐福,3.2,0.3,8.8,12.982,0.4,1.6,3.911,2.607,0.8540000000000001,56,56,1780,31.8,1.0,987,17.6,9.8,0.6,2.607,0.374,2.5,前锋
戈登-海沃德,4.1,0.4,5.6,13.462,0.5,1.8,2.7880000000000003,1.635,0.855,52,52,1740,33.5,1.1,909,17.5,6.7,0.7,1.635,0.383,1.8,前锋
贾伦-杰克逊,1.4,1.6,3.6,13.211,0.5,4.1,3.263,2.544,0.747,57,57,1622,28.5,1.0,990,17.4,4.6,0.7,2.544,0.394,1.7,前锋
本-西蒙斯,8.0,0.6,5.8,11.351,0.6,3.3,5.228,0.035,0.621,57,57,2017,35.4,2.0,937,16.4,7.8,2.1,0.035,0.28600000000000003,3.5,前锋
狄龙布鲁克斯,2.1,0.4,2.4,14.63,0.4,3.8,2.781,2.014,0.8079999999999999,73,73,2112,28.9,0.9,1181,16.2,3.3,0.9,2.014,0.358,1.7,前锋
巴姆-阿德巴约,5.1,1.3,7.8,10.972,0.6,2.5,5.306,0.028,0.691,72,72,2417,33.6,2.4,1146,15.9,10.2,1.1,0.028,0.14300000000000002,2.8,前锋
小蒂姆-哈达威,1.9,0.1,2.9,12.451,0.4,1.8,2.563,2.873,0.8190000000000001,71,58,2091,29.5,0.4,1121,15.8,3.3,0.6,2.873,0.398,1.0,前锋
布雷克-格里芬,3.3,0.4,3.7,13.889,0.4,1.5,5.444,1.5,0.7759999999999999,18,18,512,28.4,0.9,279,15.5,4.7,0.4,1.5,0.243,2.2,前锋
卡梅隆-安东尼,1.5,0.5,5.1,13.483,0.4,2.9,2.776,1.5,0.845,58,58,1902,32.8,1.2,895,15.4,6.3,0.8,1.5,0.385,1.7,前锋
赛尔吉-伊巴卡,1.4,0.8,6.1,12.182,0.5,2.8,2.255,1.273,0.718,55,27,1485,27.0,2.1,845,15.4,8.2,0.5,1.273,0.385,2.0,前锋
戴维斯-贝尔坦斯,1.7,0.6,3.9,11.296,0.4,2.6,2.259,3.704,0.852,54,4,1583,29.3,0.6,834,15.4,4.5,0.7,3.704,0.424,1.1,前锋
特伦斯-罗斯,1.2,0.3,3.0,12.261,0.4,1.6,2.667,2.565,0.853,69,0,1889,27.4,0.2,1016,14.7,3.2,1.1,2.565,0.35100000000000003,1.0,前锋
劳里-马尔卡宁,1.5,0.5,5.1,11.82,0.4,1.9,3.06,2.18,0.8240000000000001,50,50,1492,29.8,1.2,737,14.7,6.3,0.8,2.18,0.344,1.6,前锋
乔-哈里斯,2.1,0.2,3.4,11.362,0.5,2.3,1.29,2.4930000000000003,0.7190000000000001,69,69,2123,30.8,0.9,998,14.5,4.3,0.6,2.4930000000000003,0.424,1.5,前锋
哈里森-巴恩斯,2.2,0.2,3.9,11.014,0.5,1.3,3.708,1.4169999999999998,0.8009999999999999,72,72,2482,34.5,1.1,1046,14.5,4.9,0.6,1.4169999999999998,0.381,1.2,前锋
阿隆-戈登,3.7,0.6,5.9,12.371,0.4,2.0,3.613,1.177,0.674,62,62,2017,32.5,1.7,894,14.4,7.7,0.8,1.177,0.308,1.6,前锋
RJ Barrett,2.6,0.3,4.1,12.982,0.4,2.2,4.5360000000000005,1.125,0.614,56,55,1704,30.4,0.9,803,14.3,5.0,1.0,1.125,0.32,2.2,前锋
马文-巴格利三世,0.8,0.9,5.2,12.845999999999998,0.5,3.3,2.385,0.308,0.8059999999999999,13,6,334,25.7,2.2,185,14.2,7.5,0.5,0.308,0.182,1.4,前锋
Eric Paschall,2.1,0.2,3.2,10.667,0.5,2.1,3.533,0.617,0.774,60,26,1654,27.6,1.4,837,14.0,4.6,0.5,0.617,0.287,1.6,前锋
贾巴里-帕克,1.8,0.4,4.0,11.289,0.5,2.6,2.132,0.8420000000000001,0.753,38,23,918,24.2,1.6,531,14.0,5.6,1.2,0.8420000000000001,0.269,1.7,前锋
Rui Hachimura,1.8,0.2,4.5,11.354,0.5,2.2,2.917,0.521,0.8290000000000001,48,48,1444,30.1,1.6,649,13.5,6.1,0.8,0.521,0.287,1.1,前锋
邓肯-鲁滨逊,1.4,0.3,3.0,9.411,0.5,2.6,0.986,3.699,0.931,73,68,2166,29.7,0.1,983,13.5,3.2,0.5,3.699,0.446,1.0,前锋
