,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
保罗-乔治,4.1,0.4,6.8,20.961,0.4,2.8,7.013,3.792,0.8390000000000001,77,77,2841,36.9,1.4,2159,28.0,8.2,2.2,3.792,0.386,2.7,前锋
扬尼斯-阿德托昆博,5.9,1.5,10.3,17.319000000000006,0.6,3.2,9.528,0.722,0.7290000000000001,72,72,2358,32.8,2.2,1994,27.7,12.5,1.3,0.722,0.256,3.7,前锋
乔尔-恩比德,3.7,1.9,11.1,18.734,0.5,3.3,10.141,1.234,0.804,64,64,2154,33.7,2.5,1761,27.5,13.6,0.7,1.234,0.3,3.5,前锋
勒布朗-詹姆斯,8.3,0.6,7.4,19.909,0.5,1.7,7.6,2.018,0.665,55,55,1937,35.2,1.0,1505,27.4,8.5,1.3,2.018,0.339,3.6,前锋
科怀-莱昂纳德,3.3,0.4,6.0,18.817,0.5,1.5,7.1,1.867,0.8540000000000001,60,60,2040,34.0,1.3,1596,26.6,7.3,1.8,1.867,0.371,2.0,前锋
安东尼-戴维斯,3.9,2.4,8.9,18.321,0.5,2.4,7.732,0.857,0.794,56,56,1850,33.0,3.1,1452,25.9,12.0,1.6,0.857,0.331,2.0,前锋
卡尔-安东尼-唐斯,3.3,1.7,8.8,16.953,0.5,3.8,5.7189999999999985,1.922,0.836,64,64,2127,33.2,3.4,1565,24.5,12.3,0.9,1.922,0.405,2.9,前锋
布雷克-格里芬,5.4,0.4,6.2,17.88,0.5,2.7,7.332999999999998,2.52,0.753,75,75,2622,35.0,1.3,1841,24.5,7.5,0.7,2.52,0.362,3.4,前锋
扎克-拉文,4.5,0.4,4.0,18.016,0.5,2.2,5.952000000000001,1.905,0.8320000000000001,63,62,2171,34.5,0.6,1492,23.7,4.7,1.0,1.905,0.374,3.4,前锋
朱利叶斯-兰德尔,3.1,0.6,6.5,14.918,0.5,3.4,6.671,0.918,0.731,73,49,2232,30.6,2.2,1565,21.4,8.7,0.7,0.918,0.344,2.8,前锋
拉马库斯-阿尔德里奇,2.4,1.3,6.1,16.284000000000002,0.5,2.2,5.086,0.123,0.847,81,81,2687,33.2,3.1,1727,21.3,9.2,0.5,0.123,0.238,1.8,前锋
德玛尔-德罗赞,6.2,0.5,5.3,17.052,0.5,2.3,5.727,0.091,0.83,77,77,2688,34.9,0.7,1635,21.2,6.0,1.1,0.091,0.156,2.6,前锋
卢卡-多西奇,6.0,0.3,6.6,16.472,0.4,1.9,6.7360000000000015,2.333,0.713,72,72,2318,32.2,1.2,1526,21.2,7.8,1.1,2.333,0.327,3.4,前锋
托拜亚斯-哈里斯,2.8,0.5,7.0,15.293,0.5,2.2,3.744,1.902,0.866,82,82,2848,34.7,0.8,1644,20.0,7.9,0.6,1.902,0.397,1.8,前锋
达尼罗-加里纳利,2.6,0.3,5.3,13.0,0.5,1.9,5.971,2.3680000000000003,0.904,68,68,2059,30.3,0.8,1346,19.8,6.1,0.7,2.3680000000000003,0.433,1.5,前锋
约翰-科林斯,2.0,0.6,6.2,13.623,0.6,3.3,4.3610000000000015,0.902,0.763,61,59,1828,30.0,3.6,1188,19.5,9.8,0.4,0.902,0.348,2.0,前锋
小蒂姆-哈达威,2.7,0.1,2.9,15.783,0.4,2.3,5.065,2.543,0.8540000000000001,46,46,1499,32.6,0.6,880,19.1,3.5,0.9,2.543,0.34700000000000003,1.8,前锋
吉米-巴特勒,4.0,0.6,3.4,13.908,0.5,1.7,5.615,1.031,0.855,65,65,2185,33.6,1.9,1215,18.7,5.3,1.9,1.031,0.34700000000000003,1.5,前锋
凯尔-库兹马,2.5,0.4,4.6,15.529000000000002,0.5,2.4,3.571,1.829,0.752,70,68,2314,33.1,0.9,1308,18.7,5.5,0.6,1.829,0.303,1.9,前锋
劳里-马尔卡宁,1.4,0.6,7.6,15.288,0.4,2.3,3.75,2.3080000000000003,0.872,52,51,1682,32.3,1.4,974,18.7,9.0,0.7,2.3080000000000003,0.361,1.6,前锋
