cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
尼古拉-约基奇,7.3,0.7,8.0,15.075,0.5,2.9,4.4,1.038,0.821,80,80,2504,31.3,2.9,1604,20.1,10.8,1.4,1.038,0.307,3.1
路易斯-威廉姆斯,5.4,0.1,2.4,15.173,0.4,1.1,6.4670000000000005,1.4,0.8759999999999999,75,1,1993,26.6,0.5,1498,20.0,3.0,0.8,1.4,0.361,2.4
托拜亚斯-哈里斯,2.8,0.5,7.0,15.293,0.5,2.2,3.7439999999999998,1.902,0.866,82,82,2848,34.7,0.8,1644,20.0,7.9,0.6,1.902,0.397,1.8
贾卡尔-桑普森,1.0,0.8,6.8,13.5,0.5,2.0,5.25,1.25,0.81,4,0,127,31.8,1.3,80,20.0,8.0,1.0,1.25,0.35700000000000004,1.0
达尼罗-加里纳利,2.6,0.3,5.3,13.0,0.5,1.9,5.971,2.3680000000000003,0.904,68,68,2059,30.3,0.8,1346,19.8,6.1,0.7,2.3680000000000003,0.433,1.5
约翰-科林斯,2.0,0.6,6.2,13.623,0.6,3.3,4.361000000000001,0.902,0.763,61,59,1828,30.0,3.6,1188,19.5,9.8,0.4,0.902,0.348,2.0
小蒂姆-哈达威,2.7,0.1,2.9,15.783,0.4,2.3,5.065,2.543,0.8540000000000001,46,46,1499,32.6,0.6,880,19.1,3.5,0.9,2.543,0.34700000000000003,1.8
特雷-杨,8.1,0.2,2.9,15.505999999999998,0.4,1.7,5.111000000000001,1.926,0.8290000000000001,81,81,2503,30.9,0.8,1549,19.1,3.7,0.9,1.926,0.324,3.8
维克托-奥拉迪波,5.2,0.3,5.0,16.333,0.4,2.0,3.917,2.056,0.73,36,36,1147,31.9,0.6,675,18.8,5.6,1.7,2.056,0.34299999999999997,2.3
吉米-巴特勒,4.0,0.6,3.4,13.908,0.5,1.7,5.615,1.031,0.855,65,65,2185,33.6,1.9,1215,18.7,5.3,1.9,1.031,0.34700000000000003,1.5
凯尔-库兹马,2.5,0.4,4.6,15.529000000000002,0.5,2.4,3.571,1.829,0.752,70,68,2314,33.1,0.9,1308,18.7,5.5,0.6,1.829,0.303,1.9
劳里-马尔卡宁,1.4,0.6,7.6,15.288,0.4,2.3,3.75,2.3080000000000003,0.872,52,51,1682,32.3,1.4,974,18.7,9.0,0.7,2.3080000000000003,0.361,1.6
克里斯-米德尔顿,4.3,0.1,5.3,14.909,0.4,2.2,3.3510000000000004,2.325,0.8370000000000001,77,77,2393,31.1,0.6,1407,18.3,6.0,1.0,2.325,0.37799999999999995,2.3
布兰登-英格拉姆,3.0,0.6,4.3,14.019,0.5,2.9,5.558,0.596,0.675,52,52,1761,33.9,0.8,950,18.3,5.1,0.5,0.596,0.33,2.5
贾马尔-穆雷,4.8,0.4,3.4,15.64,0.4,2.0,2.9730000000000003,2.0269999999999997,0.848,75,74,2447,32.6,0.9,1367,18.2,4.2,0.9,2.0269999999999997,0.36700000000000005,2.1
安德鲁-维金斯,2.5,0.7,3.7,16.562,0.4,2.1,4.055,1.6159999999999999,0.6990000000000001,73,73,2543,34.8,1.1,1321,18.1,4.8,1.0,1.6159999999999999,0.33899999999999997,1.9
JJ-雷迪克,2.7,0.2,2.2,13.513,0.4,1.7,3.355,3.158,0.894,76,63,2379,31.3,0.3,1372,18.1,2.4,0.4,3.158,0.397,1.3
TJ-沃伦,1.5,0.7,3.3,14.209000000000001,0.5,2.8,2.884,1.791,0.815,43,36,1360,31.6,0.7,772,18.0,4.0,1.2,1.791,0.428,1.2
德里克-罗斯,4.3,0.2,2.1,14.765,0.5,1.1,3.137,1.0590000000000002,0.856,51,13,1392,27.3,0.6,917,18.0,2.7,0.6,1.0590000000000002,0.37,1.6
博扬-博格达诺维奇,2.0,0.0,3.7,12.975,0.5,1.7,3.765,2.025,0.807,81,81,2573,31.8,0.4,1454,18.0,4.1,0.9,2.025,0.425,1.7
安德鲁-德拉蒙德,1.4,1.7,10.2,13.315999999999999,0.5,3.4,5.215,0.063,0.59,79,79,2647,33.5,5.4,1370,17.3,15.6,1.7,0.063,0.132,2.2
德阿龙-福克斯,7.3,0.6,3.2,13.605,0.5,2.5,5.148,1.062,0.727,81,81,2546,31.4,0.5,1399,17.3,3.8,1.6,1.062,0.371,2.8
R.J.亨特,3.0,0.0,2.0,13.0,0.5,3.0,2.0,4.0,0.5,1,0,26,26.0,1.0,17,17.0,3.0,1.0,4.0,0.4,0.0
凯文-乐福,2.2,0.2,9.4,12.864,0.4,2.5,5.182,2.4090000000000003,0.904,22,21,598,27.2,1.5,374,17.0,10.9,0.3,2.4090000000000003,0.361,1.9
本-西蒙斯,7.7,0.8,6.6,12.152000000000001,0.6,2.6,5.417999999999999,0.0,0.6,79,79,2700,34.2,2.2,1337,16.9,8.8,1.4,0.0,0.0,3.5
帕斯卡尔-西亚卡姆,3.1,0.7,5.3,11.812999999999999,0.5,3.0,3.775,0.988,0.785,80,79,2548,31.9,1.6,1354,16.9,6.9,0.9,0.988,0.369,1.9
乔丹-克拉克森,2.4,0.2,2.3,14.568,0.4,1.4,2.37,1.778,0.8440000000000001,81,0,2215,27.3,1.0,1364,16.8,3.3,0.7,1.778,0.324,1.7
斯宾瑟-丁威迪,4.6,0.3,2.1,12.175999999999998,0.4,2.8,5.235,1.824,0.8059999999999999,68,4,1914,28.1,0.4,1143,16.8,2.4,0.6,1.824,0.335,2.2
科林-塞克斯顿,3.0,0.1,2.2,14.707,0.4,2.3,3.11,1.4509999999999998,0.8390000000000001,82,72,2605,31.8,0.7,1371,16.7,2.9,0.5,1.4509999999999998,0.402,2.3
克林特-卡佩拉,1.4,1.5,8.2,10.925,0.6,2.5,3.8960000000000004,0.0,0.636,67,67,2249,33.6,4.4,1114,16.6,12.7,0.7,0.0,0.0,1.4
蒙特雷斯-哈雷尔,2.0,1.3,4.3,10.829,0.6,3.1,5.0489999999999995,0.037000000000000005,0.643,82,5,2158,26.3,2.2,1361,16.6,6.5,0.9,0.037000000000000005,0.17600000000000002,1.6
约什-理查德森,4.1,0.5,2.9,14.055,0.4,2.7,3.1639999999999997,2.247,0.861,73,73,2539,34.8,0.7,1209,16.6,3.6,1.1,2.247,0.35700000000000004,1.5
哈里森-巴恩斯,1.5,0.2,3.9,13.338,0.4,1.6,3.61,2.26,0.8240000000000001,77,77,2533,32.9,0.7,1265,16.4,4.7,0.6,2.26,0.395,1.3
德马库斯-考辛斯,3.6,1.5,6.8,12.367,0.5,3.6,4.8,0.867,0.736,30,30,771,25.7,1.4,488,16.3,8.2,1.3,0.867,0.27399999999999997,2.4
德安德烈-艾顿,1.8,0.9,7.1,12.254000000000001,0.6,2.9,2.662,0.0,0.746,71,70,2183,30.7,3.1,1159,16.3,10.3,0.9,0.0,0.0,1.8
埃里克-戈登,1.9,0.4,1.9,13.794,0.4,2.1,2.235,3.176,0.7829999999999999,68,53,2158,31.7,0.3,1103,16.2,2.2,0.6,3.176,0.36,1.3
杰森-塔图姆,1.9,0.8,5.2,13.209000000000001,0.5,2.2,3.09,1.4780000000000002,0.87,67,67,2086,31.1,0.9,1079,16.1,6.2,1.1,1.4780000000000002,0.368,1.6
阿隆-戈登,3.7,0.7,5.7,13.41,0.4,2.2,3.2439999999999998,1.551,0.731,78,78,2633,33.8,1.7,1246,16.0,7.4,0.7,1.551,0.349,2.1
鲁迪-戈贝尔,2.0,2.3,9.0,8.79,0.7,2.9,6.444,0.0,0.636,81,80,2577,31.8,3.8,1284,15.9,12.9,0.8,0.0,0.0,1.6
埃里克-布莱德索,5.5,0.4,3.6,12.449000000000002,0.5,2.0,3.0260000000000002,1.59,0.75,78,78,2272,29.1,1.1,1241,15.9,4.6,1.5,1.59,0.32899999999999996,2.1
马克-加索尔,4.7,1.2,7.5,12.887,0.4,2.8,3.792,1.4340000000000002,0.7559999999999999,53,53,1788,33.7,1.1,834,15.7,8.6,1.1,1.4340000000000002,0.344,2.2
尤纳斯-瓦兰丘纳斯,1.4,1.1,6.4,10.98,0.6,3.0,3.7760000000000002,0.28600000000000003,0.795,49,27,1091,22.3,2.2,763,15.6,8.6,0.4,0.28600000000000003,0.292,1.8
尤素夫-努尔基奇,3.2,1.4,7.0,11.472000000000001,0.5,3.5,5.069,0.042,0.773,72,72,1974,27.4,3.4,1125,15.6,10.4,1.0,0.042,0.10300000000000001,2.3
克里斯-保罗,8.2,0.3,3.9,12.414000000000001,0.4,2.5,3.5,2.19,0.862,58,58,1857,32.0,0.6,906,15.6,4.6,2.0,2.19,0.358,2.6
马尔科姆-布罗格登,3.2,0.2,3.5,11.687999999999999,0.5,1.6,2.375,1.625,0.9279999999999999,64,64,1832,28.6,1.0,1001,15.6,4.5,0.7,1.625,0.426,1.4
丹尼斯-施罗德,4.1,0.2,3.1,13.975,0.4,2.4,2.873,1.57,0.8190000000000001,79,14,2314,29.3,0.5,1224,15.5,3.6,0.8,1.57,0.341,2.2
雷吉-杰克逊,4.2,0.1,2.1,12.767999999999999,0.4,2.5,2.878,2.122,0.8640000000000001,82,82,2289,27.9,0.5,1260,15.4,2.6,0.7,2.122,0.369,1.8
杰里米-兰姆,2.2,0.4,4.7,12.392000000000001,0.4,1.8,3.2910000000000004,1.456,0.888,79,55,2250,28.5,0.8,1208,15.3,5.5,1.1,1.456,0.348,1.0
尼古拉-米罗蒂奇,1.2,0.7,6.1,11.783,0.4,2.3,2.696,2.522,0.847,46,25,1245,27.1,1.3,697,15.2,7.4,0.7,2.522,0.365,1.0
伊万-福尼耶,3.6,0.1,2.7,13.198,0.4,2.8,2.099,1.889,0.8059999999999999,81,81,2553,31.5,0.5,1226,15.1,3.2,0.9,1.889,0.34,1.9
特伦斯-罗斯,1.7,0.4,3.1,12.679,0.4,1.5,1.778,2.679,0.875,81,0,2150,26.5,0.3,1223,15.1,3.5,0.9,2.679,0.38299999999999995,1.1
赛尔吉-伊巴卡,1.3,1.4,6.0,11.850999999999999,0.5,2.9,2.392,0.662,0.763,74,51,2010,27.2,2.1,1112,15.0,8.1,0.4,0.662,0.29,1.5
马文-巴格利三世,1.0,1.0,5.0,11.387,0.5,1.9,4.226,0.484,0.691,62,4,1568,25.3,2.6,923,14.9,7.6,0.5,0.484,0.313,1.6
伊曼纽尔-穆迪埃,3.9,0.3,2.8,12.542,0.4,1.7,3.153,1.169,0.774,59,42,1607,27.2,0.6,873,14.8,3.3,0.7,1.169,0.32899999999999996,2.4
贾巴里-帕克,2.4,0.5,5.3,11.703,0.5,2.3,2.875,0.953,0.7120000000000001,64,17,1724,26.9,1.2,930,14.5,6.6,0.7,0.953,0.313,2.4
Walter Lemon Jr.,5.0,0.2,3.8,14.5,0.4,2.3,1.8330000000000002,0.33299999999999996,0.727,6,3,167,27.8,0.7,86,14.3,4.5,1.8,0.33299999999999996,0.4,1.7
鲍比-波蒂斯,1.4,0.4,5.9,12.56,0.4,2.9,1.94,1.5,0.794,50,28,1298,26.0,2.2,710,14.2,8.1,0.7,1.5,0.39299999999999996,1.5
凯尔-洛瑞,8.7,0.5,4.2,11.369000000000002,0.4,2.6,2.985,2.415,0.83,65,65,2213,34.0,0.6,926,14.2,4.8,1.4,2.415,0.34700000000000003,2.8
德怀恩-韦德,4.3,0.6,2.8,12.6,0.4,1.5,3.109,1.109,0.667,55,0,1411,25.7,0.9,779,14.2,3.7,0.8,1.109,0.321,2.4
多曼塔斯-萨博尼斯,2.9,0.4,6.8,9.459,0.6,3.2,3.932,0.122,0.715,74,5,1838,24.8,2.5,1043,14.1,9.3,0.6,0.122,0.529,2.2
博格丹-博格达诺维奇,3.8,0.2,2.9,12.329,0.4,2.0,2.314,1.9140000000000001,0.8270000000000001,70,17,1947,27.8,0.6,990,14.1,3.5,1.0,1.9140000000000001,0.36,1.7
斯蒂文-亚当斯,1.6,1.0,4.6,10.113,0.6,2.6,3.65,0.0,0.5,80,80,2669,33.4,4.9,1108,13.9,9.5,1.5,0.0,0.0,1.7
马库斯-莫里斯,1.5,0.3,5.1,11.253,0.4,2.4,2.307,1.9469999999999998,0.8440000000000001,75,53,2091,27.9,1.0,1046,13.9,6.1,0.6,1.9469999999999998,0.375,1.2
贾伦-杰克逊,1.1,1.4,3.4,10.155,0.5,3.8,3.397,0.879,0.7659999999999999,58,56,1515,26.1,1.3,798,13.8,4.7,0.9,0.879,0.359,1.7
戈兰-德拉季奇,4.8,0.1,2.5,12.027999999999999,0.4,2.3,2.806,1.5830000000000002,0.782,36,22,991,27.5,0.6,494,13.7,3.1,0.8,1.5830000000000002,0.348,2.0
鲁迪-盖伊,2.6,0.5,5.9,10.812000000000001,0.5,2.3,2.13,1.072,0.816,69,51,1842,26.7,0.9,946,13.7,6.8,0.8,1.072,0.402,1.7
乔-哈里斯,2.4,0.2,3.1,9.842,0.5,2.4,1.75,2.408,0.8270000000000001,76,76,2294,30.2,0.7,1041,13.7,3.8,0.5,2.408,0.474,1.6
卡里斯-勒维尔,3.9,0.4,2.9,12.075,0.4,1.9,3.075,1.2,0.691,40,25,1063,26.6,0.9,547,13.7,3.8,1.1,1.2,0.312,1.7
伊内斯-坎特,1.7,0.4,6.0,10.193999999999999,0.5,2.5,2.94,0.149,0.787,67,31,1639,24.5,3.8,915,13.7,9.8,0.5,0.149,0.294,1.8
丹尼斯-史密斯Jr.,4.8,0.4,2.3,12.264000000000001,0.4,2.4,2.943,1.264,0.635,53,50,1508,28.5,0.6,722,13.6,2.9,1.3,1.264,0.322,2.9
杰拉米-格兰特,1.0,1.3,4.0,10.288,0.5,2.7,2.763,1.4380000000000002,0.71,80,77,2612,32.7,1.2,1090,13.6,5.2,0.8,1.4380000000000002,0.392,0.8
艾尔-霍福德,4.2,1.3,5.0,10.632,0.5,1.9,1.3969999999999998,1.074,0.821,68,68,1973,29.0,1.8,925,13.6,6.7,0.9,1.074,0.36,1.5
