,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
詹姆斯-哈登,7.5,0.7,5.8,24.474,0.4,3.1,11.0,4.846,0.879,78,78,2867,36.8,0.8,2818,36.1,6.6,2.0,4.846,0.368,5.0,后卫
斯蒂芬-库里,5.2,0.4,4.7,19.42,0.5,2.4,4.159,5.13,0.916,69,69,2331,33.8,0.7,1881,27.3,5.3,1.3,5.13,0.4370000000000001,2.8,后卫
德文-布克,6.8,0.2,3.5,19.609,0.5,3.1,7.0939999999999985,2.109,0.866,64,64,2242,35.0,0.6,1700,26.6,4.1,0.9,2.109,0.326,4.1,后卫
达米安-利拉德,6.9,0.4,3.8,19.163,0.4,1.9,6.4129999999999985,2.963,0.912,80,80,2838,35.5,0.9,2067,25.8,4.6,1.1,2.963,0.369,2.7,后卫
布拉德利-比尔,5.5,0.7,3.9,19.622,0.5,2.8,5.462999999999999,2.549,0.8079999999999999,82,82,3028,36.9,1.1,2099,25.6,5.0,1.5,2.549,0.35100000000000003,2.7,后卫
肯巴-沃克,5.8,0.4,3.6,20.273,0.4,1.7,5.242000000000001,3.227,0.8320000000000001,66,66,2297,34.8,0.6,1645,24.9,4.2,1.3,3.227,0.353,2.6,后卫
凯里-欧文,6.9,0.5,3.9,18.522,0.5,2.5,3.657,2.597,0.873,67,67,2214,33.0,1.1,1596,23.8,5.0,1.5,2.597,0.401,2.6,后卫
多诺万米切尔,4.2,0.4,3.3,19.87,0.4,2.7,5.143,2.442,0.8059999999999999,77,77,2598,33.7,0.8,1829,23.8,4.1,1.4,2.442,0.362,2.8,后卫
扎克-拉文,4.5,0.4,4.0,18.016,0.5,2.2,5.952000000000001,1.905,0.8320000000000001,63,62,2171,34.5,0.6,1492,23.7,4.7,1.0,1.905,0.374,3.4,后卫
拉塞尔-韦斯布鲁克,10.7,0.5,9.6,20.178,0.4,3.4,6.178,1.63,0.6559999999999999,73,73,2629,36.0,1.5,1675,22.9,11.1,1.9,1.63,0.29,4.5,后卫
朱-霍勒迪,7.7,0.8,3.9,17.299,0.5,2.2,4.045,1.761,0.768,67,67,2402,35.9,1.1,1420,21.2,5.0,1.6,1.761,0.325,3.1,后卫
德玛尔-德罗赞,6.2,0.5,5.3,17.052,0.5,2.3,5.727,0.091,0.83,77,77,2688,34.9,0.7,1635,21.2,6.0,1.1,0.091,0.156,2.6,后卫
卢卡-多西奇,6.0,0.3,6.6,16.472,0.4,1.9,6.7360000000000015,2.333,0.713,72,72,2318,32.2,1.2,1526,21.2,7.8,1.1,2.333,0.327,3.4,后卫
丹吉洛-拉塞尔,7.0,0.2,3.2,18.728,0.4,1.7,2.531,2.889,0.78,81,81,2448,30.2,0.7,1712,21.1,3.9,1.2,2.889,0.369,3.1,后卫
麦克-康利,6.4,0.3,2.8,16.0,0.4,1.8,5.8,2.214,0.845,70,70,2342,33.5,0.6,1478,21.1,3.4,1.3,2.214,0.364,1.9,后卫
C.J.麦科勒姆,3.0,0.4,3.1,17.757,0.5,2.5,2.7430000000000003,2.386,0.828,70,70,2375,33.9,0.9,1468,21.0,4.0,0.8,2.386,0.375,1.5,后卫
巴迪-希尔德,2.5,0.4,3.7,16.585,0.5,2.5,2.354,3.39,0.8859999999999999,82,82,2615,31.9,1.3,1695,20.7,5.0,0.7,3.39,0.4270000000000001,1.8,后卫
路易斯-威廉姆斯,5.4,0.1,2.4,15.173,0.4,1.1,6.4670000000000005,1.4,0.8759999999999999,75,1,1993,26.6,0.5,1498,20.0,3.0,0.8,1.4,0.361,2.4,后卫
