,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
卡尔-安东尼-唐斯,4.4,1.2,8.1,17.771,0.5,3.3,6.457000000000002,3.257,0.7959999999999999,35,35,1187,33.9,2.7,926,26.5,10.8,0.9,3.257,0.412,3.1,中锋
安东尼-戴维斯,3.2,2.3,7.0,17.677,0.5,2.5,8.468,1.161,0.846,62,62,2131,34.4,2.3,1618,26.1,9.3,1.5,1.161,0.33,2.5,中锋
乔尔-恩比德,3.0,1.3,8.9,15.706,0.5,3.4,8.529,1.118,0.807,51,51,1506,29.5,2.8,1172,23.0,11.6,0.9,1.118,0.331,3.1,中锋
约翰-科林斯,1.5,1.6,7.3,14.755999999999998,0.6,3.4,3.659,1.439,0.8,41,41,1363,33.2,2.8,885,21.6,10.1,0.8,1.439,0.401,1.8,中锋
克里斯塔普斯-波尔津吉斯,1.8,2.0,7.7,16.351,0.4,3.2,4.965,2.491,0.799,57,57,1814,31.8,1.8,1164,20.4,9.5,0.7,2.491,0.35200000000000004,1.6,中锋
尼古拉-约基奇,7.0,0.6,7.5,14.671,0.5,3.0,4.123,1.096,0.8170000000000001,73,73,2335,32.0,2.3,1456,19.9,9.7,1.2,1.096,0.314,3.1,中锋
尼科拉-武切维奇,3.6,0.8,8.6,16.660999999999998,0.5,2.2,2.694,1.581,0.784,62,62,1998,32.2,2.3,1215,19.6,10.9,0.9,1.581,0.339,1.4,中锋
朱利叶斯-兰德尔,3.1,0.3,7.4,15.719,0.5,2.8,5.5,1.0,0.733,64,64,2080,32.5,2.4,1248,19.5,9.7,0.8,1.0,0.277,3.0,中锋
拉马库斯-阿尔德里奇,2.4,1.6,5.5,14.962,0.5,2.4,3.604,1.151,0.8270000000000001,53,53,1754,33.1,1.9,1001,18.9,7.4,0.7,1.151,0.389,1.4,中锋
蒙特雷斯-哈雷尔,1.7,1.1,4.5,12.889,0.6,2.3,5.5710000000000015,0.0,0.6579999999999999,63,2,1749,27.8,2.6,1173,18.6,7.1,0.6,0.0,0.0,1.7,中锋
多曼塔斯-萨博尼斯,5.0,0.5,9.4,13.677,0.5,3.1,4.774,0.274,0.723,62,62,2159,34.8,3.0,1147,18.5,12.4,0.8,0.274,0.254,2.7,中锋
德安德烈-艾顿,1.9,1.5,7.6,14.947,0.5,3.1,2.342,0.079,0.753,38,32,1236,32.5,3.9,690,18.2,11.5,0.7,0.079,0.231,2.1,中锋
安德鲁-德拉蒙德,2.8,1.7,11.2,13.857,0.5,3.6,5.204,0.02,0.584,49,48,1654,33.8,4.6,870,17.8,15.8,2.0,0.02,0.048,3.6,中锋
尤素夫-努尔基奇,4.0,2.0,7.4,13.625,0.5,4.9,4.375,0.25,0.8859999999999999,8,8,253,31.6,2.9,141,17.6,10.3,1.4,0.25,0.2,2.4,中锋
凯文-乐福,3.2,0.3,8.8,12.982,0.4,1.6,3.911,2.607,0.8540000000000001,56,56,1780,31.8,1.0,987,17.6,9.8,0.6,2.607,0.374,2.5,中锋
贾伦-杰克逊,1.4,1.6,3.6,13.211,0.5,4.1,3.263,2.544,0.747,57,57,1622,28.5,1.0,990,17.4,4.6,0.7,2.544,0.394,1.7,中锋
巴姆-阿德巴约,5.1,1.3,7.8,10.972,0.6,2.5,5.306,0.028,0.691,72,72,2417,33.6,2.4,1146,15.9,10.2,1.1,0.028,0.14300000000000002,2.8,中锋
哈桑-怀特塞德,1.2,2.9,9.7,10.478,0.6,2.9,3.567,0.06,0.6859999999999999,67,61,2008,30.0,3.9,1040,15.5,13.5,0.4,0.06,0.5710000000000001,1.8,中锋
鲁迪-戈贝尔,1.5,2.0,10.1,8.191,0.7,3.2,5.926,0.0,0.63,68,68,2333,34.3,3.4,1026,15.1,13.5,0.8,0.0,0.0,1.9,中锋
尤纳斯-瓦兰丘纳斯,1.9,1.1,8.2,10.557,0.6,2.6,2.857,0.457,0.74,70,70,1845,26.4,3.0,1044,14.9,11.3,0.4,0.457,0.35200000000000004,1.8,中锋
劳里-马尔卡宁,1.5,0.5,5.1,11.82,0.4,1.9,3.06,2.18,0.8240000000000001,50,50,1492,29.8,1.2,737,14.7,6.3,0.8,2.18,0.344,1.6,中锋
克林特-卡佩拉,1.2,1.8,9.5,9.949,0.6,2.6,2.667,0.0,0.529,39,39,1279,32.8,4.3,543,13.9,13.8,0.8,0.0,0.0,1.6,中锋
托马斯-布莱恩特,1.8,1.1,5.1,9.087,0.6,2.2,2.522,0.804,0.741,46,36,1147,24.9,2.1,609,13.2,7.2,0.5,0.804,0.407,1.2,中锋
迈尔斯-特纳,1.2,2.1,5.2,9.468,0.5,2.7,2.7260000000000004,1.3869999999999998,0.7509999999999999,62,62,1826,29.5,1.4,749,12.1,6.6,0.7,1.3869999999999998,0.344,1.4,中锋
布鲁克-洛佩兹,1.5,2.4,3.7,9.868,0.4,2.4,2.235,1.5,0.836,68,67,1817,26.7,0.9,813,12.0,4.6,0.7,1.5,0.314,1.0,中锋
特里斯坦-汤普森,2.1,0.9,6.2,9.86,0.5,2.2,2.825,0.158,0.615,57,51,1722,30.2,4.0,684,12.0,10.1,0.6,0.158,0.391,1.8,中锋
艾尔-霍福德,4.0,0.9,5.3,10.582,0.4,2.1,1.194,1.4780000000000002,0.763,67,61,2026,30.2,1.5,798,11.9,6.8,0.8,1.4780000000000002,0.35,1.2,中锋
阿隆-贝恩斯,1.6,0.5,4.0,9.071,0.5,3.4,1.786,1.405,0.747,42,28,934,22.2,1.7,481,11.5,5.6,0.2,1.405,0.35100000000000003,1.2,中锋
温德尔-卡特,1.2,0.8,6.2,7.977,0.5,3.8,3.535,0.14,0.737,43,43,1256,29.2,3.2,484,11.3,9.4,0.8,0.14,0.207,1.7,中锋
科迪-泽勒,1.5,0.4,4.3,8.259,0.5,2.4,3.0860000000000003,0.31,0.682,58,39,1341,23.1,2.8,642,11.1,7.1,0.7,0.31,0.24,1.3,中锋
贾勒特艾伦,1.6,1.3,6.5,6.643,0.6,2.3,3.857,0.0,0.633,70,64,1852,26.5,3.1,775,11.1,9.6,0.6,0.0,0.0,1.1,中锋
