,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
132,120,2.100,50,0.900,特里斯坦-汤普森,351,6.200,25,0.000,0,Tristan Thompson,562,9.860,288,0,0.5,0,124,2.200,161,2.825,99,0.158,0,0.615,57,51,13,1722,30.2,226,4.000,4884,684,12.000,577,10.100,2019,1,33,0.600,0,5,骑士,23,0.404,9,0.158,0,0.391,0,103,1.800
133,48,1.400,78,2.300,乔纳森-艾萨克,173,5.100,5,0.000,0,Jonathan Isaac,332,9.765,156,0,0.5,0,83,2.400,77,2.265,60,0.941,0,0.779,34,32,1,980,28.8,58,1.700,1962937726,404,11.900,231,6.800,2019,1,53,1.600,0,19,魔术,94,2.765,32,0.941,0,0.340,0,49,1.400
134,126,4.100,5,0.200,雷吉-杰克逊,75,2.400,1,0.000,0,Reggie Jackson,326,10.516,134,0,0.4,0,59,1.900,54,1.742,45,1.839,0,0.833,31,16,1,743,24.0,17,0.500,4906,370,11.900,92,3.000,2019,1,13,0.400,0,12,快船,145,4.677,57,1.839,0,0.393,0,51,1.600
135,270,4.000,61,0.900,艾尔-霍福德,353,5.300,6,0.000,0,Al Horford,709,10.582,319,0,0.4,0,142,2.100,80,1.194,61,1.478,0,0.763,67,61,42,2026,30.2,103,1.500,4245,798,11.900,456,6.800,2019,1,52,0.800,0,20,76人,283,4.224,99,1.478,0,0.350,0,80,1.200
136,25,1.800,6,0.400,奥托-波特,35,2.500,0,0.000,0,Otto Porter Jr.,140,10.000,62,0,0.4,0,31,2.200,27,1.929,19,1.714,0,0.704,14,9,22,331,23.6,13,0.900,5406,167,11.900,48,3.400,2019,1,15,1.100,0,4,公牛,62,4.429,24,1.714,0,0.387,0,11,0.800
137,438,7.000,38,0.600,洛伦佐-波尔,312,5.000,12,0.000,0,Lonzo Ball,687,10.905,277,0,0.4,0,128,2.000,76,1.206,43,2.349,0,0.566,63,54,2,2025,32.1,71,1.100,1962937721,745,11.800,383,6.100,2019,1,88,1.400,0,3,鹈鹕,395,6.270,148,2.349,0,0.375,3,193,3.100
138,96,1.500,16,0.300,格伦-罗宾逊,189,3.000,1,0.000,0,Glenn Robinson III,592,9.548,288,0,0.5,0,100,1.600,86,1.387,74,1.242,0,0.860,62,52,30,1786,28.8,81,1.300,5412,727,11.700,270,4.400,2019,1,54,0.900,0,20,76人,197,3.177,77,1.242,0,0.391,0,55,0.900
139,83,1.600,30,0.600,保罗-米尔萨普,195,3.800,5,0.000,0,Paul Millsap,438,8.588,211,0,0.5,0,150,2.900,141,2.765,115,1.059,0,0.816,51,48,4,1240,24.3,98,1.900,4175,591,11.600,293,5.700,2019,1,44,0.900,0,7,掘金,124,2.431,54,1.059,0,0.435,0,70,1.400
140,118,1.800,6,0.100,帕蒂-米尔斯,86,1.300,0,0.000,0,Patty Mills,598,9.061,258,0,0.4,0,105,1.600,112,1.697,97,2.333,0,0.866,66,1,8,1485,22.5,22,0.300,4660,767,11.600,108,1.600,2019,1,53,0.800,0,24,马刺,403,6.106,154,2.333,0,0.382,0,54,0.800
141,67,1.600,23,0.500,阿隆-贝恩斯,166,4.000,3,0.000,0,Aron Baynes,381,9.071,183,0,0.5,0,141,3.400,75,1.786,56,1.405,0,0.747,42,28,46,934,22.2,71,1.700,5150,481,11.500,237,5.600,2019,1,10,0.200,0,21,太阳,168,4.000,59,1.405,0,0.351,0,50,1.200
142,203,2.800,40,0.600,内马尼亚-别利察,347,4.800,10,0.000,0,Nemanja Bjelica,653,9.069,314,0,0.5,0,216,3.000,84,1.167,69,1.861,0,0.821,72,67,8,2011,27.9,111,1.500,5509,831,11.500,458,6.400,2019,1,62,0.900,0,23,国王,320,4.444,134,1.861,0,0.419,0,99,1.400
143,241,3.500,59,0.900,德里克-怀特,188,2.800,0,0.000,0,Derrick White,552,8.118,253,0,0.5,0,152,2.200,211,3.103,180,1.162,0,0.853,68,20,4,1677,24.7,35,0.500,1962937753,765,11.300,223,3.300,2019,1,44,0.600,0,24,马刺,216,3.176,79,1.162,0,0.366,0,89,1.300
144,44,4.000,5,0.500,贾斯蒂斯-温斯洛,57,5.200,1,0.000,0,Justise Winslow,129,11.727,50,0,0.4,0,38,3.500,27,2.455,18,0.545,0,0.667,11,5,7,352,32.0,16,1.500,5554,124,11.300,73,6.600,2019,1,7,0.600,0,29,灰熊,27,2.455,6,0.545,0,0.222,0,24,2.200
145,51,1.200,36,0.800,温德尔-卡特,266,6.200,17,0.000,0,Wendell Carter Jr.,343,7.977,183,0,0.5,0,162,3.800,152,3.535,112,0.140,0,0.737,43,43,34,1256,29.2,139,3.200,1962938055,484,11.300,405,9.400,2019,1,33,0.800,0,4,公牛,29,0.674,6,0.140,0,0.207,0,72,1.700
146,75,1.400,8,0.100,马利克-比斯利,130,2.400,1,0.000,0,Malik Beasley,534,9.709,227,0,0.4,0,77,1.400,66,1.200,54,1.945,0,0.818,55,14,5,1209,22.0,18,0.300,1962937416,615,11.200,148,2.700,2019,1,40,0.700,0,16,森林狼,276,5.018,107,1.945,0,0.388,0,57,1.000
147,108,1.700,0,0.000,布林-福布斯,114,1.800,0,0.000,0,Bryn Forbes,581,9.222,242,0,0.4,0,113,1.800,90,1.429,75,2.349,0,0.833,63,62,11,1579,25.1,12,0.200,1962937501,707,11.200,126,2.000,2019,1,33,0.500,0,24,马刺,381,6.048,148,2.349,0,0.388,0,57,0.900
148,88,1.500,25,0.400,科迪-泽勒,251,4.300,10,0.000,0,Cody Zeller,479,8.259,251,0,0.5,0,140,2.400,179,3.086,122,0.310,0,0.682,58,39,40,1341,23.1,160,2.800,5155,642,11.100,411,7.100,2019,1,40,0.700,0,30,黄蜂,75,1.293,18,0.310,0,0.240,0,75,1.300
149,110,1.600,92,1.300,贾勒特艾伦,455,6.500,30,0.000,0,Jarrett Allen,465,6.643,302,0,0.6,0,162,2.300,270,3.857,171,0.000,0,0.633,70,64,31,1852,26.5,216,3.100,1962937738,775,11.100,671,9.600,2019,1,40,0.600,0,17,篮网,6,0.086,0,0.000,0,0.000,0,77,1.100
150,154,2.400,16,0.200,切迪-奥斯曼,192,3.000,2,0.000,0,Cedi Osman,609,9.369,266,0,0.4,0,160,2.500,94,1.446,63,1.892,0,0.670,65,65,16,1910,29.4,39,0.600,5575,718,11.000,231,3.600,2019,1,54,0.800,0,5,骑士,321,4.938,123,1.892,0,0.383,0,91,1.400
151,8,1.100,1,0.100,麦克-穆尔德,20,2.900,0,0.000,0,Mychal Mulder,67,9.571,26,0,0.4,0,20,2.900,12,1.714,9,2.286,0,0.750,7,3,15,204,29.1,3,0.400,1962937939,77,11.000,23,3.300,2019,1,2,0.300,0,9,勇士,52,7.429,16,2.286,0,0.308,0,5,0.700
152,32,1.500,4,0.200,罗德尼-胡德,62,3.000,0,0.000,0,Rodney Hood,172,8.190,87,0,0.5,0,46,2.200,27,1.286,21,1.667,0,0.778,21,21,5,619,29.5,10,0.500,5334,230,11.000,72,3.400,2019,1,17,0.800,0,22,开拓者,71,3.381,35,1.667,0,0.493,0,19,0.900
153,334,4.900,30,0.400,伊斯-史密斯,189,2.800,1,0.000,0,Ish Smith,689,10.132,308,0,0.4,0,106,1.600,86,1.265,62,0.912,0,0.721,68,23,14,1787,26.3,30,0.400,4800,740,10.900,219,3.200,2019,1,59,0.900,0,27,奇才,169,2.485,62,0.912,0,0.367,0,95,1.400
154,24,3.000,2,0.300,卡梅伦-佩恩,27,3.400,0,0.000,0,Cameron Payne,68,8.500,33,0,0.5,0,20,2.500,7,0.875,6,1.875,0,0.857,8,0,15,183,22.9,4,0.500,5552,87,10.900,31,3.900,2019,1,8,1.000,0,21,太阳,29,3.625,15,1.875,0,0.517,0,11,1.400
155,146,2.300,67,1.100,斯蒂文-亚当斯,376,6.000,22,0.000,0,Steven Adams,478,7.587,283,0,0.6,0,122,1.900,201,3.190,117,0.016,0,0.582,63,63,12,1681,26.7,207,3.300,5163,684,10.900,583,9.300,2019,1,51,0.800,0,25,雷霆,3,0.048,1,0.016,0,0.333,0,94,1.500
156,271,4.100,17,0.300,德章泰-穆雷,314,4.800,6,0.000,0,Dejounte Murray,637,9.652,294,0,0.5,0,143,2.200,114,1.727,91,0.621,0,0.798,66,58,5,1687,25.6,69,1.000,1962937436,720,10.900,383,5.800,2019,1,111,1.700,0,24,马刺,111,1.682,41,0.621,0,0.369,0,125,1.900
157,114,1.700,33,0.500,鲁迪-盖伊,301,4.500,4,0.000,0,Rudy Gay,596,8.896,266,0,0.4,0,103,1.500,136,2.030,120,1.104,0,0.882,67,5,22,1461,21.8,61,0.900,4136,726,10.800,362,5.400,2019,1,35,0.500,0,24,马刺,220,3.284,74,1.104,0,0.336,0,88,1.300
158,123,1.900,16,0.200,达里奥-萨里奇,306,4.600,9,0.000,0,Dario Saric,538,8.152,256,0,0.5,0,156,2.400,128,1.939,108,1.273,0,0.844,66,51,20,1632,24.7,100,1.500,5323,704,10.700,406,6.200,2019,1,37,0.600,0,21,太阳,235,3.561,84,1.273,0,0.357,0,88,1.300
159,108,1.600,45,0.700,OG-阿奴诺比,284,4.100,5,0.000,0,OG Anunoby,566,8.203,286,0,0.5,0,167,2.400,102,1.478,72,1.290,0,0.706,69,68,3,2066,29.9,80,1.200,1962937736,733,10.600,364,5.300,2019,1,96,1.400,0,28,猛龙,228,3.304,89,1.290,0,0.390,0,79,1.100
160,262,4.600,1,0.000,D.J.奥古斯丁,100,1.800,0,0.000,0,D.J. Augustin,461,8.088,184,0,0.4,0,72,1.300,181,3.175,161,1.228,0,0.890,57,13,14,1420,24.9,22,0.400,4471,599,10.500,122,2.100,2019,1,34,0.600,0,19,魔术,201,3.526,70,1.228,0,0.348,0,86,1.500
161,87,1.500,28,0.500,Cameron Reddish,181,3.100,0,0.000,0,Cam Reddish,554,9.552,213,0,0.4,0,132,2.300,126,2.172,101,1.431,0,0.802,58,34,22,1551,26.7,35,0.600,1962938419,610,10.500,216,3.700,2019,1,62,1.100,0,1,老鹰,250,4.310,83,1.431,0,0.332,0,96,1.700
162,85,1.300,34,0.500,丹纽尔-豪斯,210,3.300,2,0.000,0,Danuel House Jr.,539,8.556,230,0,0.4,0,132,2.100,90,1.429,73,2.048,0,0.811,63,52,4,1913,30.4,57,0.900,1962937667,662,10.500,267,4.200,2019,1,67,1.100,0,10,火箭,355,5.635,129,2.048,0,0.363,0,54,0.900
163,118,2.100,14,0.300,加里-哈里斯,137,2.400,0,0.000,0,Gary Harris,519,9.268,218,0,0.4,0,116,2.100,92,1.643,75,1.250,0,0.815,56,55,14,1780,31.8,26,0.500,5330,581,10.400,163,2.900,2019,1,76,1.400,0,7,掘金,210,3.750,70,1.250,0,0.333,0,60,1.100
164,178,2.600,7,0.100,特洛伊-布朗,307,4.400,6,0.000,0,Troy Brown Jr.,622,9.014,273,0,0.4,0,132,1.900,139,2.014,109,0.884,0,0.784,69,22,6,1782,25.8,76,1.100,1962938051,716,10.400,383,5.600,2019,1,85,1.200,0,27,奇才,179,2.594,61,0.884,0,0.341,0,79,1.100
165,114,2.100,16,0.300,马利克-莫克,130,2.400,1,0.000,0,Malik Monk,488,8.873,212,0,0.4,0,74,1.300,100,1.818,82,1.055,0,0.820,55,1,1,1169,21.3,27,0.500,1962937725,564,10.300,157,2.900,2019,1,25,0.500,0,30,黄蜂,204,3.709,58,1.055,0,0.284,0,77,1.400
166,117,1.800,23,0.400,赛迪斯-杨,221,3.500,2,0.000,0,Thaddeus Young,601,9.391,269,0,0.4,0,134,2.100,72,1.125,42,1.234,0,0.583,64,16,21,1591,24.9,94,1.500,4290,659,10.300,315,4.900,2019,1,92,1.400,0,4,公牛,222,3.469,79,1.234,0,0.356,0,102,1.600
167,156,2.500,29,0.500,加雷特-坦普尔,189,3.000,2,0.000,0,Garrett Temple,587,9.468,222,0,0.4,0,108,1.700,87,1.403,70,2.048,0,0.805,62,35,17,1730,27.9,29,0.500,4682,641,10.300,218,3.500,2019,1,49,0.800,0,17,篮网,386,6.226,127,2.048,0,0.329,0,62,1.000
168,262,4.700,11,0.200,沙巴兹-内皮尔,132,2.400,2,0.000,0,Shabazz Napier,456,8.143,188,0,0.4,0,101,1.800,153,2.732,126,1.357,0,0.824,56,32,5,1345,24.0,26,0.500,5335,578,10.300,158,2.800,2019,1,69,1.200,0,27,奇才,240,4.286,76,1.357,0,0.317,1,128,2.300
169,101,1.500,11,0.200,兰斯顿-加洛维,116,1.800,0,0.000,0,Langston Galloway,542,8.212,236,0,0.4,0,96,1.500,85,1.288,73,2.000,0,0.859,66,6,2,1702,25.8,33,0.500,5388,677,10.300,149,2.300,2019,1,48,0.700,0,8,活塞,331,5.015,132,2.000,0,0.399,0,40,0.600
170,78,1.100,5,0.100,道格-迈克德莫特,148,2.100,0,0.000,0,Doug McDermott,547,7.928,267,0,0.5,0,117,1.700,58,0.841,48,1.855,0,0.828,69,0,20,1372,19.9,26,0.400,5322,710,10.300,174,2.500,2019,1,12,0.200,0,11,步行者,294,4.261,128,1.855,0,0.435,0,42,0.600
171,123,2.200,22,0.400,小拉里-南斯,303,5.400,12,0.000,0,Larry Nance Jr.,431,7.696,229,0,0.5,0,91,1.600,74,1.321,50,1.000,0,0.676,56,10,22,1472,26.3,106,1.900,5606,564,10.100,409,7.300,2019,1,56,1.000,0,5,骑士,159,2.839,56,1.000,0,0.352,0,60,1.100
172,108,1.700,23,0.400,约什-哈特,364,5.600,10,0.000,0,Josh Hart,532,8.185,225,0,0.4,0,160,2.500,115,1.769,85,1.862,0,0.739,65,16,3,1755,27.0,61,0.900,1962937756,656,10.100,425,6.500,2019,1,63,1.000,0,3,鹈鹕,354,5.446,121,1.862,0,0.342,0,75,1.200
173,58,0.800,16,0.200,本-麦克勒莫,136,1.900,1,0.000,0,Ben McLemore,545,7.676,242,0,0.4,0,155,2.200,67,0.944,50,2.549,0,0.746,71,23,16,1619,22.8,21,0.300,5158,715,10.100,157,2.200,2019,1,45,0.600,0,10,火箭,452,6.366,181,2.549,0,0.400,0,50,0.700
174,98,1.500,18,0.300,鲍比-波蒂斯,258,3.900,5,0.000,0,Bobby Portis,589,8.924,265,0,0.4,0,110,1.700,93,1.409,71,1.015,0,0.763,66,5,1,1394,21.1,80,1.200,5565,668,10.100,338,5.100,2019,1,32,0.500,0,18,尼克斯,187,2.833,67,1.015,0,0.358,0,73,1.100
175,323,7.200,17,0.400,埃尔弗里德-佩顿,160,3.600,6,0.000,0,Elfrid Payton,440,9.778,193,0,0.4,0,89,2.000,86,1.911,49,0.311,0,0.570,45,36,6,1246,27.7,52,1.200,5321,449,10.000,212,4.700,2019,1,70,1.600,0,18,尼克斯,69,1.533,14,0.311,0,0.203,1,96,2.100
