,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
0,586,7.500,58,0.700,詹姆斯-哈登,452,5.800,34,0.000,0,James Harden,1909,24.474,843,0,0.4,0,244,3.100,858,11.000,754,4.846,0,0.879,78,78,13,2867,36.8,66,0.800,4563,2818,36.100,518,6.600,2018,1,158,2.000,0,10,火箭,1028,13.179,378,4.846,0,0.368,7,387,5.000
1,318,4.100,34,0.400,保罗-乔治,523,6.800,24,0.000,0,Paul George,1614,20.961,707,0,0.4,0,214,2.800,540,7.013,453,3.792,0,0.839,77,77,13,2841,36.9,105,1.400,4725,2159,28.000,628,8.200,2018,1,170,2.200,0,25,雷霆,757,9.831,292,3.792,0,0.386,1,205,2.700
2,424,5.900,110,1.500,扬尼斯-阿德托昆博,739,10.300,54,0.000,0,Giannis Antetokounmpo,1247,17.319,721,0,0.6,0,232,3.200,686,9.528,500,0.722,0,0.729,72,72,34,2358,32.8,159,2.200,5185,1994,27.700,898,12.500,2018,1,92,1.300,0,15,雄鹿,203,2.819,52,0.722,0,0.256,5,268,3.700
3,234,3.700,122,1.900,乔尔-恩比德,711,11.100,58,0.000,0,Joel Embiid,1199,18.734,580,0,0.5,0,211,3.300,649,10.141,522,1.234,0,0.804,64,64,21,2154,33.7,160,2.500,5294,1761,27.500,871,13.600,2018,1,46,0.700,0,20,76人,263,4.109,79,1.234,0,0.300,2,226,3.500
4,454,8.300,33,0.600,勒布朗-詹姆斯,408,7.400,32,0.000,0,LeBron James,1095,19.909,558,0,0.5,0,94,1.700,418,7.600,278,2.018,0,0.665,55,55,23,1937,35.2,57,1.000,3704,1505,27.400,465,8.500,2018,1,72,1.300,0,13,湖人,327,5.945,111,2.018,0,0.339,8,197,3.600
5,361,5.200,25,0.400,斯蒂芬-库里,324,4.700,3,0.000,0,Stephen Curry,1340,19.420,632,0,0.5,0,166,2.400,287,4.159,263,5.130,0,0.916,69,69,30,2331,33.8,45,0.700,4612,1881,27.300,369,5.300,2018,1,92,1.300,0,9,勇士,810,11.739,354,5.130,0,0.437,0,192,2.800
6,433,6.800,13,0.200,德文-布克,226,3.500,12,0.000,0,Devin Booker,1255,19.609,586,0,0.5,0,200,3.100,454,7.094,393,2.109,0,0.866,64,64,1,2242,35.0,39,0.600,5547,1700,26.600,265,4.100,2018,1,56,0.900,0,21,太阳,414,6.469,135,2.109,0,0.326,0,264,4.100
7,199,3.300,24,0.400,科怀-莱昂纳德,361,6.000,14,0.000,0,Kawhi Leonard,1129,18.817,560,0,0.5,0,87,1.500,426,7.100,364,1.867,0,0.854,60,60,2,2040,34.0,78,1.300,4896,1596,26.600,439,7.300,2018,1,106,1.800,0,28,猛龙,302,5.033,112,1.867,0,0.371,0,121,2.000
8,457,5.900,84,1.100,凯文-杜兰特,464,5.900,16,0.000,0,Kevin Durant,1383,17.731,721,0,0.5,0,155,2.000,506,6.487,448,1.756,0,0.885,78,78,7,2702,34.6,33,0.400,4244,2027,26.000,497,6.400,2018,1,58,0.700,0,9,勇士,388,4.974,137,1.756,0,0.353,2,225,2.900
9,218,3.900,135,2.400,安东尼-戴维斯,498,8.900,37,0.000,0,Anthony Davis,1026,18.321,530,0,0.5,0,132,2.400,433,7.732,344,0.857,0,0.794,56,56,3,1850,33.0,174,3.100,5007,1452,25.900,672,12.000,2018,1,88,1.600,0,3,鹈鹕,145,2.589,48,0.857,0,0.331,0,112,2.000
10,551,6.900,34,0.400,达米安-利拉德,303,3.800,13,0.000,0,Damian Lillard,1533,19.163,681,0,0.4,0,148,1.900,513,6.413,468,2.963,0,0.912,80,80,0,2838,35.5,68,0.900,5012,2067,25.800,371,4.600,2018,1,88,1.100,0,22,开拓者,643,8.038,237,2.963,0,0.369,0,212,2.700
11,448,5.500,58,0.700,布拉德利-比尔,322,3.900,11,0.000,0,Bradley Beal,1609,19.622,764,0,0.5,0,226,2.800,448,5.463,362,2.549,0,0.808,82,82,3,3028,36.9,89,1.100,5009,2099,25.600,411,5.000,2018,1,121,1.500,0,27,奇才,596,7.268,209,2.549,0,0.351,2,224,2.700
12,380,5.800,29,0.400,肯巴-沃克,236,3.600,6,0.000,0,Kemba Walker,1338,20.273,572,0,0.4,0,109,1.700,346,5.242,288,3.227,0,0.832,66,66,8,2297,34.8,39,0.600,4890,1645,24.900,275,4.200,2018,1,85,1.300,0,31,詹姆斯队,604,9.152,213,3.227,0,0.353,0,174,2.600
13,208,3.300,109,1.700,卡尔-安东尼-唐斯,566,8.800,43,0.000,0,Karl-Anthony Towns,1085,16.953,568,0,0.5,0,243,3.800,366,5.719,306,1.922,0,0.836,64,64,32,2127,33.2,220,3.400,5546,1565,24.500,786,12.300,2018,1,58,0.900,0,32,字母哥队,304,4.750,123,1.922,0,0.405,0,185,2.900
