,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
德里克-罗斯,5.6,0.3,1.9,15.06,0.5,1.0,2.78,0.9,0.871,50,15,1298,26.0,0.5,904,18.1,2.4,0.8,0.9,0.306,2.5,后卫
特里-罗齐尔,4.1,0.2,3.6,14.937,0.4,2.0,3.016,2.73,0.8740000000000001,63,63,2165,34.4,0.8,1134,18.0,4.4,1.0,2.73,0.407,2.2,后卫
Ja Morant,7.3,0.3,3.1,13.985,0.5,1.6,4.597,0.8959999999999999,0.7759999999999999,67,67,2074,31.0,0.8,1193,17.8,3.9,0.9,0.8959999999999999,0.335,3.3,后卫
克里斯-保罗,6.7,0.2,4.6,12.671,0.5,2.3,3.986,1.586,0.907,70,70,2208,31.5,0.4,1232,17.6,5.0,1.6,1.586,0.365,2.3,后卫
弗雷德-万维利特,6.6,0.3,3.4,14.315,0.4,2.4,3.667,2.704,0.848,54,54,1928,35.7,0.3,952,17.6,3.8,1.9,2.704,0.39,2.2,后卫
马尔科姆-布罗格登,7.1,0.2,4.0,13.778,0.4,1.8,3.444,1.389,0.892,54,54,1666,30.9,0.9,893,16.5,4.9,0.6,1.389,0.326,2.4,后卫
本-西蒙斯,8.0,0.6,5.8,11.351,0.6,3.3,5.228,0.035,0.621,57,57,2017,35.4,2.0,937,16.4,7.8,2.1,0.035,0.28600000000000003,3.5,后卫
狄龙布鲁克斯,2.1,0.4,2.4,14.63,0.4,3.8,2.781,2.014,0.8079999999999999,73,73,2112,28.9,0.9,1181,16.2,3.3,0.9,2.014,0.358,1.7,后卫
戈兰-德拉季奇,5.1,0.2,2.7,12.271,0.4,2.1,4.169,2.102,0.7759999999999999,59,3,1663,28.2,0.5,953,16.2,3.2,0.7,2.102,0.3670000000000001,2.4,后卫
诺曼-鲍威尔,1.8,0.4,3.2,11.5,0.5,2.1,2.942,2.096,0.843,52,26,1479,28.4,0.5,830,16.0,3.7,1.2,2.096,0.399,1.5,后卫
小蒂姆-哈达威,1.9,0.1,2.9,12.451,0.4,1.8,2.563,2.873,0.8190000000000001,71,58,2091,29.5,0.4,1121,15.8,3.3,0.6,2.873,0.398,1.0,后卫
卢克-肯纳德,4.1,0.2,3.2,12.214,0.4,2.3,2.679,2.607,0.893,28,25,922,32.9,0.3,442,15.8,3.5,0.4,2.607,0.399,1.5,后卫
肯德里克-纳恩,3.3,0.2,2.4,13.642,0.4,2.3,1.493,2.045,0.85,67,67,1962,29.3,0.3,1024,15.3,2.7,0.8,2.045,0.35,1.7,后卫
JJ-雷迪克,2.0,0.2,2.4,10.517,0.5,1.6,3.083,3.0,0.892,60,36,1581,26.4,0.2,917,15.3,2.5,0.3,3.0,0.453,1.3,后卫
乔丹-克拉克森,1.9,0.2,1.9,12.211,0.5,1.5,2.324,2.141,0.836,71,2,1705,24.0,0.7,1078,15.2,2.6,0.6,2.141,0.368,1.4,后卫
威尔-巴顿,3.7,0.5,5.0,12.724,0.4,2.1,2.293,1.862,0.767,58,58,1916,33.0,1.3,874,15.1,6.3,1.1,1.862,0.375,1.5,后卫
博格丹-博格达诺维奇,3.4,0.2,3.0,12.557,0.4,2.2,1.902,2.689,0.741,61,28,1766,29.0,0.4,924,15.1,3.4,1.0,2.689,0.3720000000000001,1.7,后卫
亚历克-伯克斯,2.9,0.3,3.5,11.636,0.4,1.9,4.015,1.758,0.887,66,19,1754,26.6,0.7,993,15.0,4.3,0.9,1.758,0.385,1.4,后卫
埃里克-布莱德索,5.4,0.4,3.9,11.525,0.5,2.1,3.508,1.213,0.79,61,61,1646,27.0,0.7,911,14.9,4.6,0.9,1.213,0.344,2.4,后卫
特伦斯-罗斯,1.2,0.3,3.0,12.261,0.4,1.6,2.667,2.565,0.853,69,0,1889,27.4,0.2,1016,14.7,3.2,1.1,2.565,0.35100000000000003,1.0,后卫
乔-哈里斯,2.1,0.2,3.4,11.362,0.5,2.3,1.29,2.4930000000000003,0.7190000000000001,69,69,2123,30.8,0.9,998,14.5,4.3,0.6,2.4930000000000003,0.424,1.5,后卫
维克托-奥拉迪波,2.9,0.2,3.5,12.947,0.4,1.9,3.105,1.737,0.8140000000000001,19,16,528,27.8,0.5,275,14.5,3.9,0.9,1.737,0.317,2.5,后卫
麦克-康利,4.4,0.1,2.5,12.064,0.4,2.2,2.957,2.043,0.8270000000000001,47,41,1363,29.0,0.7,675,14.4,3.2,0.8,2.043,0.375,2.0,后卫
埃里克-戈登,1.5,0.4,1.7,12.861,0.4,1.9,2.972,2.667,0.7659999999999999,36,15,1016,28.2,0.3,520,14.4,2.0,0.6,2.667,0.317,1.2,后卫
RJ Barrett,2.6,0.3,4.1,12.982,0.4,2.2,4.5360000000000005,1.125,0.614,56,55,1704,30.4,0.9,803,14.3,5.0,1.0,1.125,0.32,2.2,后卫
约什-理查德森,2.9,0.7,2.4,11.745,0.4,2.5,2.564,1.545,0.809,55,53,1693,30.8,0.7,755,13.7,3.2,0.9,1.545,0.341,1.9,后卫
Tyler Herro,2.2,0.2,3.8,11.473,0.4,1.4,1.818,2.109,0.87,55,8,1508,27.4,0.3,743,13.5,4.1,0.6,2.109,0.389,1.6,后卫
Coby White,2.7,0.1,3.1,12.185,0.4,1.8,1.985,2.046,0.7909999999999999,65,1,1674,25.8,0.4,859,13.2,3.5,0.8,2.046,0.354,1.7,后卫
杰夫-蒂格,6.1,0.4,2.1,9.529,0.4,2.1,4.235,0.971,0.868,34,13,945,27.8,0.4,448,13.2,2.6,0.7,0.971,0.379,2.2,后卫
里基-卢比奥,8.8,0.2,4.0,10.646,0.4,2.6,3.477,1.2,0.863,65,65,2016,31.0,0.7,847,13.0,4.7,1.4,1.2,0.361,2.7,后卫
马库斯-斯马特,4.9,0.5,3.1,11.367,0.4,2.7,2.533,2.283,0.836,60,40,1919,32.0,0.7,776,12.9,3.8,1.7,2.283,0.34700000000000003,1.7,后卫
乔丹-麦克雷,2.8,0.5,3.0,10.931,0.4,2.1,2.862,1.379,0.7709999999999999,29,4,654,22.6,0.6,370,12.8,3.6,0.7,1.379,0.377,1.3,后卫
达迈·李,2.7,0.1,4.2,10.429,0.4,2.4,2.571,1.735,0.873,49,36,1423,29.0,0.7,621,12.7,4.9,1.0,1.735,0.35600000000000004,1.4,后卫
杰里米-兰姆,2.1,0.5,3.8,10.413,0.5,2.3,2.391,1.152,0.836,46,42,1291,28.1,0.5,577,12.5,4.3,1.2,1.152,0.335,1.1,后卫
塞斯-库里,1.9,0.1,1.8,8.969,0.5,1.8,1.516,2.266,0.825,64,25,1576,24.6,0.4,793,12.4,2.3,0.6,2.266,0.452,1.0,后卫
DeAndre Hunter,1.8,0.3,3.8,10.841,0.4,2.9,2.286,1.714,0.764,63,62,2018,32.0,0.7,778,12.3,4.5,0.7,1.714,0.355,1.6,后卫
Darius Garland,3.9,0.1,1.4,11.847,0.4,1.6,1.22,1.78,0.875,59,59,1824,30.9,0.5,728,12.3,1.9,0.7,1.78,0.355,2.6,后卫
以赛亚-托马斯,3.7,0.2,1.4,10.65,0.4,1.9,1.9,1.95,0.816,40,37,925,23.1,0.3,488,12.2,1.7,0.3,1.95,0.413,1.9,后卫
凯文-赫尔特,3.8,0.5,3.4,10.893,0.4,2.5,1.143,2.268,0.828,56,48,1760,31.4,0.6,684,12.2,4.1,0.9,2.268,0.38,1.6,后卫
Brandon Clarke,1.4,0.8,4.4,8.259,0.6,1.7,1.931,0.397,0.759,58,4,1300,22.4,1.6,700,12.1,5.9,0.6,0.397,0.359,0.9,后卫
马克尔-富尔茨,5.1,0.2,2.7,10.722,0.5,2.0,2.208,0.5,0.73,72,60,1996,27.7,0.6,870,12.1,3.3,1.3,0.5,0.267,2.0,后卫
雷吉-杰克逊,4.1,0.2,2.4,10.515999999999998,0.4,1.9,1.742,1.839,0.833,31,16,743,24.0,0.5,370,11.9,3.0,0.4,1.839,0.393,1.6,后卫
洛伦佐-波尔,7.0,0.6,5.0,10.905,0.4,2.0,1.206,2.349,0.5660000000000001,63,54,2025,32.1,1.1,745,11.8,6.1,1.4,2.349,0.375,3.1,后卫
帕蒂-米尔斯,1.8,0.1,1.3,9.061,0.4,1.6,1.6969999999999998,2.333,0.866,66,1,1485,22.5,0.3,767,11.6,1.6,0.8,2.333,0.382,0.8,后卫
德里克-怀特,3.5,0.9,2.8,8.118,0.5,2.2,3.103,1.162,0.853,68,20,1677,24.7,0.5,765,11.3,3.3,0.6,1.162,0.366,1.3,后卫
贾斯蒂斯-温斯洛,4.0,0.5,5.2,11.727,0.4,3.5,2.455,0.545,0.667,11,5,352,32.0,1.5,124,11.3,6.6,0.6,0.545,0.222,2.2,后卫
