,3P,FT,AST,STL,BLK,PF,TRB,W,L,cnname
Golden State Warriors,11.3,16.6,29.3,8.0,7.5,19.6,43.5,58,24,勇士
Houston Rockets,15.3,19.6,21.5,8.5,4.8,19.5,43.5,65,17,火箭
New Orleans Pelicans,10.2,16.1,26.8,8.0,5.9,19.1,44.3,48,34,鹈鹕
Toronto Raptors,11.8,17.3,24.3,7.6,6.1,21.7,44.0,59,23,猛龙
Cleveland Cavaliers,12.0,18.1,23.4,7.1,3.8,18.6,42.1,50,32,骑士
Denver Nuggets,11.5,17.1,25.1,7.6,4.9,18.7,44.5,46,36,掘金
Philadelphia 76ers,11.0,17.1,27.1,8.3,5.1,22.1,47.4,52,30,76人
Minnesota Timberwolves,8.0,19.4,22.7,8.4,4.2,18.2,42.0,47,35,森林狼
Los Angeles Clippers,9.5,19.0,22.3,7.7,4.5,20.0,43.9,42,40,快船
Charlotte Hornets,10.0,20.2,21.6,6.8,4.5,17.2,45.5,36,46,黄蜂
Los Angeles Lakers,10.0,16.6,23.8,7.7,4.7,21.2,46.4,35,47,湖人
Oklahoma City Thunder,10.7,17.3,21.3,9.1,5.0,20.2,45.1,48,34,雷霆
Washington Wizards,9.9,16.8,25.2,7.9,4.3,21.3,43.1,43,39,奇才
Brooklyn Nets,12.7,17.4,23.7,6.2,4.8,20.6,44.4,28,54,篮网
Milwaukee Bucks,8.8,18.3,23.2,8.8,5.4,21.4,39.8,44,38,雄鹿
Portland Trail Blazers,10.3,16.7,19.5,7.0,5.2,19.5,45.5,49,33,开拓者
Indiana Pacers,9.0,14.9,22.2,8.8,4.1,18.8,42.3,48,34,步行者
New York Knicks,8.2,14.9,23.3,6.7,5.1,20.5,44.0,29,53,尼克斯
Utah Jazz,10.8,16.8,22.4,8.6,5.1,19.6,43.3,48,34,爵士
Boston Celtics,11.5,16.0,22.5,7.4,4.5,19.7,44.5,55,27,凯尔特人
Phoenix Suns,9.3,17.7,21.3,6.9,4.5,22.0,44.1,21,61,太阳
Detroit Pistons,10.8,14.7,22.8,7.7,3.9,18.4,43.7,39,43,活塞
Miami Heat,11.0,14.7,22.7,7.6,5.3,20.1,43.5,44,38,热火
Orlando Magic,10.3,15.5,23.4,7.6,4.9,19.3,41.6,25,57,魔术
Atlanta Hawks,11.2,15.8,23.7,7.8,4.2,19.6,41.9,24,58,老鹰
Chicago Bulls,11.0,14.6,23.5,7.6,3.5,19.2,44.7,27,55,公牛
San Antonio Spurs,8.5,16.1,22.8,7.7,5.6,17.2,44.2,47,35,马刺
Dallas Mavericks,11.8,14.2,22.7,7.0,3.8,19.2,41.3,24,58,独行侠
Memphis Grizzlies,9.2,16.6,21.5,7.5,4.8,23.2,40.5,22,60,灰熊
Sacramento Kings,9.0,12.3,21.6,7.8,4.1,20.0,40.9,27,55,国王
