,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
17,44,2.100,15,0.700,克雷-汤普森,74,3.500,0,0.000,0,Klay Thompson,360,17.143,164,0,0.5,0,59,2.800,41,1.952,37,3.333,0,0.902,21,21,11,818,39.000,12,0.600,4892,435,20.700,86,4.100,2018,2,28,1.300,0,9,勇士,158,7.524,70,3.333,0,0.443,0,38,1.800
18,37,3.400,25,2.300,乔尔-恩比德,94,8.500,7,0.000,0,Joel Embiid,159,14.455,68,0,0.4,0,34,3.100,90,8.182,74,1.091,0,0.822,11,11,21,334,30.400,21,1.900,5294,222,20.200,115,10.500,2018,2,8,0.700,0,20,76人,39,3.545,12,1.091,0,0.308,0,40,3.600
19,19,2.700,7,1.000,拉马库斯-阿尔德里奇,48,6.900,4,0.000,0,LaMarcus Aldridge,121,17.286,55,0,0.5,0,21,3.000,33,4.714,27,0.429,0,0.818,7,7,12,244,34.900,19,2.700,4130,140,20.000,67,9.600,2018,2,5,0.700,0,24,马刺,11,1.571,3,0.429,0,0.273,0,7,1.000
20,16,2.700,1,0.200,达尼罗-加里纳利,28,4.700,0,0.000,0,Danilo Gallinari,111,18.500,39,0,0.4,0,14,2.300,33,5.500,28,2.167,0,0.848,6,6,8,201,33.500,9,1.500,4468,119,19.800,37,6.200,2018,2,8,1.300,0,12,快船,43,7.167,13,2.167,0,0.302,0,11,1.800
21,62,5.200,7,0.600,吉米-巴特勒,50,4.200,2,0.000,0,Jimmy Butler,175,14.583,79,0,0.5,0,20,1.700,72,6.000,63,1.000,0,0.875,12,12,22,421,35.100,22,1.800,4912,233,19.400,72,6.000,2018,2,18,1.500,0,20,76人,45,3.750,12,1.000,0,0.267,0,22,1.800
22,18,3.600,1,0.200,丹吉洛-拉塞尔,16,3.200,0,0.000,0,D'Angelo Russell,103,20.600,37,0,0.4,0,12,2.400,13,2.600,11,2.400,0,0.846,5,5,0,148,29.600,2,0.400,5543,97,19.400,18,3.600,2018,2,7,1.400,0,17,篮网,37,7.400,12,2.400,0,0.324,0,14,2.800
23,66,2.800,17,0.700,帕斯卡尔-西亚卡姆,131,5.500,6,0.000,0,Pascal Siakam,383,15.958,180,0,0.5,0,67,2.800,87,3.625,66,1.208,0,0.759,24,24,43,891,37.100,40,1.700,1962937454,455,19.000,171,7.100,2018,2,24,1.000,0,28,猛龙,104,4.333,29,1.208,0,0.279,0,33,1.400
24,13,2.200,4,0.700,蒙特雷斯-哈雷尔,21,3.500,1,0.000,0,Montrezl Harrell,63,10.500,46,0,0.7,0,19,3.200,26,4.333,18,0.000,0,0.692,6,0,15,158,26.300,12,2.000,5574,110,18.300,33,5.500,2018,2,3,0.500,0,12,快船,1,0.167,0,0.000,0,0.000,0,8,1.300
25,11,2.800,0,0.000,博扬-博格达诺维奇,20,5.000,0,0.000,0,Bojan Bogdanovic,63,15.750,25,0,0.4,0,7,1.800,17,4.250,15,1.750,0,0.882,4,4,44,148,37.000,3,0.800,4913,72,18.000,23,5.800,2018,2,8,2.000,0,11,步行者,22,5.500,7,1.750,0,0.318,0,6,1.500
26,28,7.000,0,0.000,雷吉-杰克逊,8,2.000,0,0.000,0,Reggie Jackson,65,16.250,28,0,0.4,0,12,3.000,7,1.750,6,2.250,0,0.857,4,4,1,108,27.000,5,1.300,4906,71,17.800,13,3.300,2018,2,3,0.800,0,8,活塞,21,5.250,9,2.250,0,0.429,0,5,1.300
27,14,1.300,11,1.000,埃里克-戈登,23,2.100,0,0.000,0,Eric Gordon,150,13.636,67,0,0.4,0,22,2.000,28,2.545,24,3.455,0,0.857,11,11,10,410,37.300,5,0.500,4469,196,17.800,28,2.500,2018,2,7,0.600,0,10,火箭,95,8.636,38,3.455,0,0.400,0,27,2.500
28,60,5.500,7,0.600,克里斯-保罗,56,5.100,1,0.000,0,Chris Paul,148,13.455,66,0,0.4,0,36,3.300,45,4.091,38,1.545,0,0.844,11,11,3,397,36.100,14,1.300,3930,187,17.000,70,6.400,2018,2,24,2.200,0,10,火箭,63,5.727,17,1.545,0,0.270,0,37,3.400
29,66,4.400,0,0.000,克里斯-米德尔顿,86,5.700,3,0.000,0,Khris Middleton,201,13.400,84,0,0.4,0,44,2.900,52,3.467,46,2.667,0,0.885,15,15,22,515,34.300,9,0.600,5073,254,16.900,95,6.300,2018,2,9,0.600,0,15,雄鹿,92,6.133,40,2.667,0,0.435,0,29,1.900
30,48,4.000,6,0.500,托拜亚斯-哈里斯,98,8.200,3,0.000,0,Tobias Harris,167,13.917,71,0,0.4,0,30,2.500,26,2.167,22,1.833,0,0.846,12,12,12,443,36.900,12,1.000,4901,186,15.500,110,9.200,2018,2,13,1.100,0,20,76人,63,5.250,22,1.833,0,0.349,0,20,1.700
31,43,8.600,1,0.200,里基-卢比奥,13,2.600,2,0.000,0,Ricky Rubio,66,13.200,28,0,0.4,0,14,2.800,20,4.000,17,0.800,0,0.850,5,5,11,168,33.600,3,0.600,4610,77,15.400,16,3.200,2018,2,12,2.400,0,26,爵士,20,4.000,4,0.800,0,0.200,0,15,3.000
32,3,0.800,1,0.300,泰瑞克-埃文斯,17,4.300,0,0.000,0,Tyreke Evans,48,12.000,21,0,0.4,0,8,2.000,14,3.500,8,2.750,0,0.571,4,0,12,84,21.000,0,0.000,4564,61,15.300,17,4.300,2018,2,3,0.800,0,11,步行者,20,5.000,11,2.750,0,0.550,0,6,1.500
33,18,3.600,1,0.200,阿隆-戈登,25,5.000,1,0.000,0,Aaron Gordon,62,12.400,29,0,0.5,0,16,3.200,19,3.800,10,1.600,0,0.526,5,5,0,164,32.800,11,2.200,5295,76,15.200,36,7.200,2018,2,6,1.200,0,19,魔术,20,4.000,8,1.600,0,0.400,0,13,2.600
