,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
乔治-希尔,2.8,0.3,2.5,7.867000000000001,0.5,2.3,2.2,1.3330000000000002,0.818,15,0,395,26.3,1.0,173,11.5,3.5,0.8,1.3330000000000002,0.417,0.4,后卫
鲁迪-盖伊,1.7,0.7,5.3,10.0,0.4,1.9,2.4290000000000003,1.143,0.8240000000000001,7,0,178,25.4,1.9,78,11.1,7.1,0.4,1.143,0.421,1.4,后卫
布林-福布斯,1.0,0.1,3.4,8.0,0.5,2.0,1.286,2.143,0.667,7,7,212,30.3,0.1,75,10.7,3.6,0.1,2.143,0.484,0.4,后卫
罗德尼-胡德,0.9,0.2,1.7,6.938,0.5,1.8,2.75,1.125,0.818,16,0,373,23.3,0.6,158,9.9,2.3,0.4,1.125,0.353,0.4,后卫
威尔-巴顿,1.7,0.6,3.7,9.643,0.3,1.4,1.857,1.071,0.6920000000000001,14,3,328,23.4,1.1,127,9.1,4.8,0.3,1.071,0.273,1.0,后卫
乔-哈里斯,0.6,0.0,3.0,8.6,0.4,2.4,1.6,0.8,1.0,5,5,149,29.8,1.2,44,8.8,4.2,0.6,0.8,0.19,1.8,后卫
马利克-比斯利,1.0,0.1,2.6,6.643,0.4,1.4,2.214,1.357,0.71,14,0,281,20.1,0.8,113,8.1,3.4,0.2,1.357,0.404,0.5,后卫
沙巴兹-内皮尔,3.7,0.0,1.7,3.667,0.6,0.3,2.667,1.0,0.875,3,0,28,9.3,0.7,24,8.0,2.3,0.3,1.0,0.6,0.0,后卫
弗雷德-万维利特,2.6,0.3,1.4,6.917000000000002,0.4,2.0,1.2919999999999998,1.5830000000000002,0.774,24,0,592,24.7,0.3,192,8.0,1.7,0.8,1.5830000000000002,0.388,0.9,后卫
兰斯顿-加洛维,1.0,1.0,3.3,8.5,0.3,2.5,0.0,2.25,0.0,4,0,110,27.5,0.5,31,7.8,3.8,0.5,2.25,0.36,0.5,后卫
兰德里-沙梅特,1.7,0.0,1.8,6.332999999999998,0.3,2.5,1.6669999999999998,1.6669999999999998,1.0,6,6,174,29.0,0.2,46,7.7,2.0,1.0,1.6669999999999998,0.32299999999999995,1.2,后卫
