,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
乔-哈里斯,0.6,0.0,3.0,8.6,0.4,2.4,1.6,0.8,1.0,5,5,149,29.8,1.2,44,8.8,4.2,0.6,0.8,0.19,1.8,前锋
多曼塔斯-萨博尼斯,4.0,0.3,5.5,7.25,0.4,3.0,3.5,0.25,0.643,4,0,96,24.0,1.8,34,8.5,7.3,0.8,0.25,0.25,1.3,前锋
乔纳森-艾萨克,0.4,1.0,4.2,8.0,0.3,1.8,1.6,0.8,0.875,5,5,137,27.4,2.0,33,6.6,6.2,0.4,0.8,0.2,1.0,前锋
乔-因戈尔斯,5.0,0.0,4.2,7.4,0.3,2.8,0.0,1.6,0.0,5,5,151,30.2,0.6,32,6.4,4.8,2.2,1.6,0.276,1.6,前锋
丹纽尔-豪斯,0.1,0.3,2.9,5.2860000000000005,0.3,1.6,1.143,1.143,0.5,7,0,141,20.1,0.3,34,4.9,3.1,0.4,1.143,0.258,0.6,前锋
福尔康-科尔克马兹,1.3,0.3,1.5,4.5,0.3,1.3,1.25,0.75,0.8,4,0,36,9.0,0.0,19,4.8,1.5,0.0,0.75,0.375,0.3,前锋
格伦-罗宾逊,0.7,0.0,1.7,5.0,0.3,1.7,1.3330000000000002,0.333,1.0,3,0,36,12.0,0.7,13,4.3,2.3,0.7,0.333,0.125,0.3,前锋
马基夫-莫里斯,1.0,0.6,1.8,3.2,0.3,1.8,1.8,0.4,0.778,5,0,59,11.8,0.8,19,3.8,2.6,0.2,0.4,0.28600000000000003,0.4,前锋
戴维斯-贝尔坦斯,1.0,0.2,1.6,3.0,0.3,2.0,1.0,0.6,0.6,5,0,79,15.8,0.0,16,3.2,1.6,0.0,0.6,0.273,0.2,前锋
加雷特-坦普尔,0.3,0.2,1.0,1.833,0.3,1.3,1.6669999999999998,0.16699999999999998,0.7,6,0,63,10.5,0.2,14,2.3,1.2,0.5,0.16699999999999998,0.14300000000000002,0.3,前锋
阿隆-贝恩斯,0.3,0.2,2.1,1.556,0.6,2.2,0.222,0.222,0.5,9,5,115,12.8,0.7,19,2.1,2.8,0.3,0.222,0.333,0.6,前锋
道格-迈克德莫特,1.3,0.3,0.7,3.333,0.2,0.7,1.3330000000000002,0.0,0.5,3,0,29,9.7,1.0,6,2.0,1.7,0.0,0.0,0.0,0.0,前锋
丹尼尔-泰斯,0.0,0.1,0.9,2.0,0.4,0.6,0.28600000000000003,0.0,1.0,7,0,42,6.0,0.6,12,1.7,1.4,0.1,0.0,0.0,0.1,前锋
杰克-雷曼,0.0,0.0,0.5,1.167,0.1,0.5,0.667,0.0,0.75,6,0,20,3.3,0.2,5,0.8,0.7,0.0,0.0,0.0,0.0,前锋
